"Time","signal strenght"
"1.098343843","-35dBm"
"1.201621556","-79dBm"
"1.815692027","-79dBm"
"2.020222281","-77dBm"
"4.580526569","-81dBm"
"4.683008722","-82dBm"
"4.785253252","-82dBm"
"8.164328457","-38dBm"
"8.266561216","-81dBm"
"8.368788468","-82dBm"
"11.748810087","-37dBm"
"11.851618545","-87dBm"
"15.229557874","-39dBm"
"15.332919361","-39dBm"
"15.435144231","-81dBm"
"18.814196424","-37dBm"
"18.916556640","-82dBm"
"19.018673627","-64dBm"
"22.398214047","-83dBm"
"22.549710382","-39dBm"
"22.568367167","-83dBm"
"22.569569805","-83dBm"
"23.155614423","-42dBm"
"23.627008487","-65dBm"
"25.982578043","-90dBm"
"26.084796849","-84dBm"
"26.698815018","-41dBm"
"29.463425690","-36dBm"
"29.565679608","-83dBm"
"29.668874115","-84dBm"
"33.047327903","-79dBm"
"33.159697134","-83dBm"
"36.529228626","-37dBm"
"36.601501284","-38dBm"
"36.602945955","-40dBm"
"36.631428615","-37dBm"
"36.666671936","-38dBm"
"36.670793711","-38dBm"
"36.672048192","-38dBm"
"36.673334609","-38dBm"
"36.674573537","-39dBm"
"36.733758392","-84dBm"
"40.113167199","-80dBm"
"40.215500656","-81dBm"
"40.317704331","-38dBm"
"43.697774741","-37dBm"
"43.801264343","-36dBm"
"44.413808474","-83dBm"
"44.515988743","-41dBm"
"47.178662302","-38dBm"
"47.281091171","-84dBm"
"47.383267651","-36dBm"
"47.997840765","-39dBm"
"50.762774683","-84dBm"
"50.865087524","-38dBm"
"50.967307445","-83dBm"
"54.346548793","-39dBm"
"54.449881843","-85dBm"
"57.828896820","-39dBm"
"57.932645378","-85dBm"
"58.032989543","-81dBm"
"61.412392936","-85dBm"
"61.514555305","-41dBm"
"61.617850953","-84dBm"
"64.996887257","-39dBm"
"65.099172747","-37dBm"
"68.478056674","-39dBm"
"68.586899409","-39dBm"
"68.683195310","-38dBm"
"69.400180710","-42dBm"
"72.049628941","-40dBm"
"72.063453218","-39dBm"
"72.164749692","-82dBm"
"72.266939657","-83dBm"
"72.881037635","-42dBm"
"75.646353509","-84dBm"
"75.748452031","-84dBm"
"76.578165866","-42dBm"
"79.128352504","-39dBm"
"79.241939883","-82dBm"
"79.333209003","-83dBm"
"79.946797385","-39dBm"
"82.712081442","-81dBm"
"82.814354900","-79dBm"
"82.916578783","-37dBm"
"86.295827736","-86dBm"
"86.398060175","-85dBm"
"87.115125364","-41dBm"
"89.777554991","-38dBm"
"89.982592036","-35dBm"
"90.596378400","-41dBm"
"90.699620447","-40dBm"
"93.361331768","-85dBm"
"93.463557633","-34dBm"
"93.566777529","-35dBm"
"94.181047646","-40dBm"
"94.283228274","-40dBm"
"96.945638927","-35dBm"
"97.047875481","-86dBm"
"100.427451288","-37dBm"
"100.529660089","-36dBm"
"100.631999968","-81dBm"
"104.013631326","-37dBm"
"104.113761024","-81dBm"
"104.216066273","-82dBm"
"107.697937012","-81dBm"
"108.312135734","-80dBm"
"108.414700707","-39dBm"
"111.076515675","-34dBm"
"111.178826954","-82dBm"
