"Time","signal strenght"
"0.025356549","-40dBm"
"0.127487569","-81dBm"
"0.741504699","-84dBm"
"3.506589371","-38dBm"
"3.608752772","-83dBm"
"3.711147093","-83dBm"
"7.091057526","-82dBm"
"7.193356443","-87dBm"
"10.572623939","-88dBm"
"10.674889546","-88dBm"
"10.777059146","-83dBm"
"14.156677410","-38dBm"
"14.259353250","-86dBm"
"14.361637859","-82dBm"
"17.740756485","-82dBm"
"17.843084594","-83dBm"
"21.226078417","-38dBm"
"21.324310363","-83dBm"
"21.426516097","-84dBm"
"24.796560453","-38dBm"
"24.799046617","-38dBm"
"24.800415940","-38dBm"
"24.801660043","-38dBm"
"24.806180443","-36dBm"
"24.908531357","-82dBm"
"25.010857883","-36dBm"
"28.390232071","-83dBm"
"28.492494933","-82dBm"
"29.107197703","-89dBm"
"31.973631163","-83dBm"
"32.075944447","-38dBm"
"35.455445420","-39dBm"
"35.557755694","-82dBm"
"35.660104505","-83dBm"
"39.039448372","-38dBm"
"39.141856598","-80dBm"
"39.244204091","-82dBm"
"42.624040699","-83dBm"
"42.726177220","-84dBm"
"46.105461378","-39dBm"
"46.207752220","-84dBm"
"46.310093945","-83dBm"
"49.688978335","-84dBm"
"49.791293858","-84dBm"
"49.894525888","-83dBm"
"53.273655681","-85dBm"
"53.375878028","-85dBm"
"56.857588770","-38dBm"
"56.960015442","-83dBm"
"57.632321796","-83dBm"
"57.676858904","-83dBm"
"57.779116268","-83dBm"
"60.338983012","-39dBm"
"60.441418517","-82dBm"
"60.543578987","-83dBm"
"63.923012080","-82dBm"
"64.025259777","-81dBm"
"64.127570452","-82dBm"
"64.844273349","-84dBm"
"67.506626002","-83dBm"
"67.609966451","-83dBm"
"70.988421776","-82dBm"
"71.090786556","-85dBm"
"71.193008193","-82dBm"
"71.910318120","-41dBm"
"74.572638075","-88dBm"
"74.674897421","-38dBm"
"75.295089979","-42dBm"
"75.494475303","-43dBm"
"78.156936449","-88dBm"
"78.259275067","-88dBm"
"81.637725674","-40dBm"
"81.741015903","-85dBm"
"81.843262230","-85dBm"
"85.222735670","-38dBm"
"85.324920153","-39dBm"
"88.805912166","-84dBm"
"88.909141336","-85dBm"
"92.288166752","-84dBm"
"92.390422066","-40dBm"
"92.492650787","-84dBm"
"95.871886394","-84dBm"
"95.974287793","-43dBm"
"99.455712411","-84dBm"
"99.558089522","-84dBm"
"102.937250045","-40dBm"
"103.039477304","-86dBm"
"103.142845936","-86dBm"
"106.521286904","-86dBm"
"106.623555867","-86dBm"
"106.695554189","-42dBm"
