"Time","signal strenght"
"0.221813549","-40dBm"
"0.324027853","-67dBm"
"0.426389104","-42dBm"
"1.348569654","-90dBm"
"1.450732279","-89dBm"
"3.089371083","-71dBm"
"3.191585506","-70dBm"
"3.805611254","-41dBm"
"6.570644489","-68dBm"
"6.676067688","-68dBm"
"6.775338185","-68dBm"
"7.390103340","-44dBm"
"8.516118720","-108dBm"
"10.155163469","-68dBm"
"10.257458921","-67dBm"
"10.871081930","-67dBm"
"10.938257869","-40dBm"
"10.939515463","-39dBm"
"10.941962440","-39dBm"
"10.943239809","-40dBm"
"10.946971222","-41dBm"
"10.948209046","-40dBm"
"10.949436062","-39dBm"
"10.950690546","-39dBm"
"11.076595159","-40dBm"
"13.636429063","-35dBm"
"13.738705348","-68dBm"
"13.840927909","-68dBm"
"14.456021487","-39dBm"
"15.585758428","-108dBm"
"17.219981161","-66dBm"
"17.330766624","-68dBm"
"17.425126308","-68dBm"
"18.039191231","-67dBm"
"18.142401798","-39dBm"
"20.804643794","-68dBm"
"20.906781223","-67dBm"
"21.521456833","-40dBm"
"21.726029543","-40dBm"
"22.658025605","-105dBm"
"24.286451781","-68dBm"
"24.388808811","-67dBm"
"24.491089438","-68dBm"
"25.104833172","-67dBm"
"27.832859776","-37dBm"
"27.870138762","-36dBm"
"27.985468620","-67dBm"
"28.586337836","-68dBm"
"28.689520628","-39dBm"
"28.791876003","-39dBm"
"31.454170250","-67dBm"
"31.556428969","-37dBm"
"32.171220112","-40dBm"
"32.273479051","-67dBm"
"34.935684543","-68dBm"
"35.037801517","-52dBm"
"35.140111386","-68dBm"
"35.754896977","-39dBm"
"35.777651766","-67dBm"
"35.926788944","-39dBm"
"35.928084381","-39dBm"
"35.930590335","-39dBm"
"35.931831131","-39dBm"
"35.934276469","-39dBm"
"35.936829486","-40dBm"
"38.621986250","-68dBm"
"38.724223192","-36dBm"
"39.338903945","-64dBm"
"39.441246935","-68dBm"
"42.104275461","-36dBm"
"42.205645502","-68dBm"
"42.820688754","-67dBm"
"42.922981778","-67dBm"
"43.844122991","-87dBm"
"44.049682131","-108dBm"
"45.584927444","-38dBm"
"45.687160589","-64dBm"
"45.790409483","-67dBm"
"46.404749610","-68dBm"
"46.506976482","-66dBm"
"49.168892953","-69dBm"
"49.272044016","-68dBm"
"49.886239102","-38dBm"
"49.988552567","-67dBm"
"50.095119167","-39dBm"
"51.012601508","-87dBm"
"51.114694587","-108dBm"
"52.758851119","-68dBm"
"52.856189410","-65dBm"
"53.469700900","-41dBm"
"56.234647810","-40dBm"
"56.336887864","-69dBm"
"56.440133013","-67dBm"
"57.156905319","-44dBm"
"59.819348277","-65dBm"
"59.921613168","-67dBm"
"60.023889656","-68dBm"
"60.637644490","-68dBm"
"60.750188180","-67dBm"
"61.661564875","-108dBm"
"63.414325512","-69dBm"
"63.505639099","-68dBm"
"64.222486859","-41dBm"
"66.986491828","-70dBm"
"67.089698061","-39dBm"
"67.703469414","-65dBm"
"67.805597765","-66dBm"
"68.830461055","-89dBm"
"70.468143002","-67dBm"
"70.571334640","-68dBm"
"70.673691876","-67dBm"
"71.287397227","-66dBm"
"71.392368609","-66dBm"
"72.311204549","-74dBm"
"72.414527488","-91dBm"
"74.052818057","-37dBm"
"74.070951169","-39dBm"
"74.072402809","-39dBm"
"74.073660916","-38dBm"
"74.155079494","-37dBm"
"74.974265690","-65dBm"
"74.985528425","-41dBm"
"75.895691082","-108dBm"
"77.636981009","-68dBm"
"77.739244218","-68dBm"
"78.353975099","-39dBm"
"78.455258268","-67dBm"
"81.118334280","-35dBm"
"81.220811256","-36dBm"
"81.323041369","-37dBm"
"81.937705905","-43dBm"
"84.702692347","-67dBm"
"84.805022735","-67dBm"
"85.419142266","-46dBm"
"85.524830614","-65dBm"
"85.624214343","-65dBm"
"88.286183177","-67dBm"
"88.388387318","-67dBm"
"89.105413102","-66dBm"
"89.207735393","-64dBm"
"91.768129137","-67dBm"
"91.870234935","-36dBm"
"92.587542528","-40dBm"
"92.689632791","-40dBm"
"95.351376033","-68dBm"
"95.454737937","-68dBm"
"95.556998739","-67dBm"
"96.273712297","-67dBm"
"98.935810513","-69dBm"
"99.038180352","-36dBm"
"99.653117205","-40dBm"
"99.755295212","-39dBm"
"99.857521175","-67dBm"
"102.519844626","-36dBm"
"102.622316991","-66dBm"
"103.236797577","-42dBm"
"103.338944360","-41dBm"
"106.000991964","-36dBm"
"106.104298086","-66dBm"
"106.206551441","-66dBm"
"107.845213296","-108dBm"
"109.585801826","-66dBm"
"109.688005720","-67dBm"
"110.302911658","-41dBm"
"113.067890808","-38dBm"
"113.271941452","-74dBm"
"113.888208616","-40dBm"
"113.989035861","-40dBm"
"116.651676177","-67dBm"
"116.754018184","-38dBm"
"116.856178824","-38dBm"
