"Time","signal strenght"
"0.188852847","-66dBm"
"0.291136655","-41dBm"
"0.905727742","-66dBm"
"1.007993956","-41dBm"
"3.674423839","-39dBm"
"3.772235693","-68dBm"
"3.878450777","-69dBm"
"4.489142013","-68dBm"
"4.591311945","-42dBm"
"7.254061310","-44dBm"
"7.356295216","-69dBm"
"7.458603933","-69dBm"
"7.970730498","-45dBm"
"8.072873024","-67dBm"
"8.176197052","-68dBm"
"10.838769088","-68dBm"
"10.940965748","-67dBm"
"11.554662478","-48dBm"
"14.319910294","-69dBm"
"14.422292142","-69dBm"
"14.533089981","-66dBm"
"15.138783624","-68dBm"
"15.240930402","-44dBm"
"16.162680270","-89dBm"
"16.264846333","-108dBm"
"17.903497763","-68dBm"
"18.006870318","-40dBm"
"18.620634766","-41dBm"
"18.722794495","-66dBm"
"18.825126647","-66dBm"
"19.860408558","-89dBm"
"21.488076845","-68dBm"
"21.590344478","-68dBm"
"22.204948649","-44dBm"
"22.409415006","-67dBm"
"24.969996490","-41dBm"
"25.072261209","-69dBm"
"25.187699760","-44dBm"
"25.788364685","-43dBm"
"25.890488517","-67dBm"
"26.813109751","-108dBm"
"28.553127159","-68dBm"
"28.655583862","-68dBm"
"29.270629874","-68dBm"
"29.372722359","-51dBm"
"29.475050706","-67dBm"
"32.137783475","-68dBm"
"32.239997401","-67dBm"
"32.854619116","-66dBm"
"32.956978613","-67dBm"
"35.619613376","-67dBm"
"35.721854019","-68dBm"
"35.824074781","-68dBm"
"36.438081653","-42dBm"
"36.540344839","-45dBm"
"37.462822730","-108dBm"
"39.204464564","-66dBm"
"39.306208615","-41dBm"
"40.124314499","-45dBm"
"40.943847587","-108dBm"
"42.786683365","-66dBm"
"42.889059409","-69dBm"
"43.503662537","-68dBm"
"43.605950130","-45dBm"
"43.652614836","-68dBm"
"44.633033949","-108dBm"
"46.268530368","-69dBm"
"46.370678745","-70dBm"
"46.474018758","-38dBm"
"47.088192437","-68dBm"
"47.190427865","-43dBm"
"48.112128567","-88dBm"
"48.214454422","-108dBm"
"49.853114482","-66dBm"
"49.960695696","-41dBm"
"50.569397875","-68dBm"
"50.671538607","-46dBm"
"50.774882033","-45dBm"
"53.334785741","-68dBm"
"53.437124293","-45dBm"
"53.539284010","-68dBm"
"54.154098975","-68dBm"
"54.256333750","-68dBm"
"56.918509676","-39dBm"
"57.020780705","-67dBm"
"57.122909569","-37dBm"
"57.737643100","-43dBm"
"57.839917964","-42dBm"
"60.502442815","-65dBm"
"60.614760347","-69dBm"
"61.321540524","-43dBm"
"61.423839874","-42dBm"
"63.983927322","-42dBm"
"64.086355390","-68dBm"
"64.188638423","-67dBm"
"64.803401679","-43dBm"
"64.905654962","-44dBm"
"67.568289145","-67dBm"
"67.670446091","-68dBm"
"67.772671163","-67dBm"
"68.386887943","-45dBm"
"68.489111540","-66dBm"
"69.411119037","-108dBm"
"71.152052510","-67dBm"
"71.268446576","-66dBm"
"71.869073768","-63dBm"
"71.971232150","-65dBm"
"74.633701272","-43dBm"
"74.736085750","-43dBm"
"74.838347189","-68dBm"
"75.453212654","-72dBm"
"75.555542156","-63dBm"
"78.218062033","-67dBm"
"78.312387256","-67dBm"
"78.320327657","-68dBm"
"78.372644437","-45dBm"
"78.422463013","-67dBm"
"79.037288318","-44dBm"
"79.139522336","-45dBm"
"81.736553966","-66dBm"
"81.756589617","-40dBm"
"81.757805168","-40dBm"
"81.801572610","-40dBm"
"81.904259031","-67dBm"
