"Time","signal strenght"
"0.744325898","-41dBm"
"0.846658172","-83dBm"
"0.949011447","-39dBm"
"4.328574775","-40dBm"
"4.430998545","-91dBm"
"7.912312503","-82dBm"
"8.014468321","-79dBm"
"11.394210246","-82dBm"
"11.496413314","-83dBm"
"11.598861127","-82dBm"
"14.978102121","-38dBm"
"15.080476532","-79dBm"
"18.561667291","-87dBm"
"18.663871886","-38dBm"
"22.043278803","-39dBm"
"22.145510895","-39dBm"
"22.251851617","-83dBm"
"25.627484524","-80dBm"
"25.729814029","-40dBm"
"26.446793313","-81dBm"
"29.211488959","-85dBm"
"29.313839057","-87dBm"
"32.692979922","-39dBm"
"32.795321941","-38dBm"
"32.906215350","-84dBm"
"36.276640706","-88dBm"
"36.379934401","-88dBm"
"39.861254568","-84dBm"
"39.963492305","-82dBm"
"43.342826609","-89dBm"
"43.445081462","-89dBm"
"46.927065500","-40dBm"
"47.029426766","-82dBm"
"50.510914698","-82dBm"
"50.613241378","-81dBm"
"53.992430414","-39dBm"
"54.094565433","-81dBm"
"54.196899114","-83dBm"
"57.576260893","-85dBm"
"57.678652399","-84dBm"
"61.160304735","-84dBm"
"61.262542737","-40dBm"
"64.642327651","-40dBm"
"64.744591292","-83dBm"
"64.846807454","-84dBm"
"68.225621714","-40dBm"
"68.329910246","-82dBm"
"71.809890453","-84dBm"
"71.912184384","-85dBm"
"75.292130005","-84dBm"
"75.394819386","-83dBm"
"75.496041261","-79dBm"
"78.875709535","-84dBm"
"78.981549577","-47dBm"
"82.460177013","-80dBm"
"82.562337528","-48dBm"
"85.941396211","-42dBm"
"86.043780684","-83dBm"
"86.145857756","-43dBm"
"89.525337455","-83dBm"
"89.635441005","-84dBm"
"93.109820526","-42dBm"
"93.212113921","-86dBm"
"96.590931200","-85dBm"
"96.607480152","-85dBm"
"96.647598822","-85dBm"
"96.648909670","-86dBm"
"96.693182838","-53dBm"
"96.795348959","-46dBm"
"100.175393897","-86dBm"
"100.290375767","-46dBm"
"100.379690136","-46dBm"
"103.759296227","-46dBm"
"103.861545200","-89dBm"
"104.451997476","-52dBm"
"107.240779153","-54dBm"
"107.343043101","-53dBm"
"107.445242071","-54dBm"
"110.825186467","-51dBm"
"110.927417318","-52dBm"
"111.029729387","-51dBm"
"111.585576194","-52dBm"
"111.586847928","-52dBm"
"111.588011487","-52dBm"
"111.589244848","-52dBm"
"111.590442897","-52dBm"
"111.591801283","-52dBm"
"111.593087606","-52dBm"
"111.594307436","-52dBm"
"111.595569620","-52dBm"
"111.596795384","-52dBm"
"111.598022744","-52dBm"
"111.644087831","-53dBm"
"111.746458583","-52dBm"
"114.408781672","-92dBm"
"114.511135741","-91dBm"
"117.890883337","-88dBm"
"117.993063083","-88dBm"
"118.095355295","-88dBm"
