"Time","signal strenght"
"0.696600890","-70dBm"
"0.799329225","-77dBm"
"1.413338967","-72dBm"
"1.515589656","-72dBm"
"1.617852762","-34dBm"
"4.179178216","-29dBm"
"4.280512536","-73dBm"
"4.382598667","-73dBm"
"4.997422481","-33dBm"
"5.100033187","-33dBm"
"7.762132773","-70dBm"
"7.864322575","-73dBm"
"7.966615643","-73dBm"
"8.581325148","-71dBm"
"8.687653759","-72dBm"
"9.707802551","-108dBm"
"11.351266747","-73dBm"
"11.448530596","-74dBm"
"12.062508060","-72dBm"
"12.165879399","-73dBm"
"14.827583821","-32dBm"
"14.929837901","-73dBm"
"15.033059852","-32dBm"
"15.646695351","-71dBm"
"15.748892223","-69dBm"
"18.411638236","-32dBm"
"18.505112690","-30dBm"
"18.506440826","-31dBm"
"18.507696509","-31dBm"
"18.514383540","-31dBm"
"18.616651066","-30dBm"
"19.231174189","-67dBm"
"19.342748897","-34dBm"
"22.006306490","-79dBm"
"22.098629321","-73dBm"
"22.303215537","-100dBm"
"22.712277321","-70dBm"
"22.815546339","-69dBm"
"22.917830763","-33dBm"
"25.477883441","-73dBm"
"25.580122476","-78dBm"
"25.682395561","-30dBm"
"25.688578747","-31dBm"
"25.708591718","-72dBm"
"26.296873637","-70dBm"
"26.399052185","-69dBm"
"27.334493509","-108dBm"
"29.163445253","-33dBm"
"29.778343157","-35dBm"
"29.880488538","-73dBm"
"29.984206498","-74dBm"
"30.802417601","-108dBm"
"31.006826879","-87dBm"
"32.748091187","-72dBm"
"33.362667646","-73dBm"
"33.465008728","-72dBm"
"33.567507240","-36dBm"
"34.489076239","-108dBm"
"36.127204199","-30dBm"
"36.229414895","-73dBm"
"36.331650464","-73dBm"
"36.946394978","-71dBm"
"37.048541871","-34dBm"
"37.970001534","-108dBm"
"39.711029792","-74dBm"
"39.813169995","-75dBm"
"40.428152107","-36dBm"
"40.530270797","-36dBm"
"43.295120331","-73dBm"
"43.398063082","-32dBm"
"44.011865185","-35dBm"
"44.116416121","-36dBm"
"46.779930378","-30dBm"
"46.879186502","-73dBm"
"46.981414590","-71dBm"
"47.596242608","-72dBm"
"47.698421452","-35dBm"
"48.619750671","-108dBm"
"50.360630604","-72dBm"
"50.462823759","-31dBm"
"51.077649980","-35dBm"
"51.179888371","-35dBm"
"51.282144856","-71dBm"
"52.108095777","-85dBm"
"53.945061192","-73dBm"
"54.047521826","-72dBm"
"54.771976683","-36dBm"
"55.685470504","-108dBm"
"55.787535964","-105dBm"
"57.435728583","-72dBm"
"57.529084696","-32dBm"
"57.631169359","-72dBm"
"58.245874681","-71dBm"
"61.010244322","-72dBm"
"61.112463557","-71dBm"
"61.830110553","-72dBm"
"61.932222956","-34dBm"
"64.594620649","-34dBm"
"64.697015320","-33dBm"
"65.311640195","-34dBm"
"65.426945487","-37dBm"
