"Time","signal strenght"
"0.799658400","-76dBm"
"0.901839107","-31dBm"
"1.516603148","-74dBm"
"4.383511961","-75dBm"
"4.485721427","-76dBm"
"4.523883820","-29dBm"
"4.525135264","-30dBm"
"5.202199738","-77dBm"
"7.864563669","-52dBm"
"7.967835577","-77dBm"
"8.070159679","-78dBm"
"8.689850280","-32dBm"
"8.786176250","-32dBm"
"11.448471640","-75dBm"
"11.551821911","-78dBm"
"12.165538915","-76dBm"
"12.267681292","-32dBm"
"12.370912205","-76dBm"
"14.930234310","-73dBm"
"15.032453178","-27dBm"
"15.135887151","-74dBm"
"15.749484014","-72dBm"
"16.876626198","-108dBm"
"18.514846545","-74dBm"
"18.617135316","-74dBm"
"18.719430202","-27dBm"
"19.231802889","-31dBm"
"19.344128083","-76dBm"
"19.436458263","-77dBm"
"22.099058019","-75dBm"
"22.199926412","-75dBm"
"22.201696955","-30dBm"
"22.815509927","-32dBm"
"22.917721057","-32dBm"
"23.019914132","-77dBm"
"23.838999204","-83dBm"
"25.579991484","-27dBm"
"25.682284601","-75dBm"
"25.785622763","-74dBm"
"26.399446067","-31dBm"
"26.501679503","-31dBm"
"29.164700712","-75dBm"
"29.267033712","-77dBm"
"29.369692683","-77dBm"
"29.986243010","-32dBm"
"29.988767499","-32dBm"
"29.991260949","-32dBm"
"29.992502955","-32dBm"
"29.995016513","-32dBm"
"29.999738794","-32dBm"
"32.748747134","-79dBm"
"32.850928484","-76dBm"
"33.465618667","-77dBm"
"33.567849537","-34dBm"
"33.670099065","-74dBm"
"36.229401707","-29dBm"
"36.332556316","-28dBm"
"36.434933425","-71dBm"
"39.814290527","-30dBm"
"39.877418489","-76dBm"
"39.916581126","-72dBm"
"40.018764937","-75dBm"
"40.633336467","-74dBm"
"40.735568069","-74dBm"
"43.397711716","-76dBm"
"43.500097721","-73dBm"
"44.216808997","-31dBm"
"44.319006592","-74dBm"
"46.981766408","-28dBm"
"47.084064211","-75dBm"
"47.800959145","-75dBm"
"48.722669060","-108dBm"
"50.463574369","-75dBm"
"50.565925443","-74dBm"
"50.668139087","-74dBm"
"51.283048763","-31dBm"
"51.385310614","-71dBm"
"51.406470523","-74dBm"
"51.407756895","-74dBm"
"51.408989765","-74dBm"
"51.410253266","-74dBm"
"51.411500767","-74dBm"
"51.412718471","-74dBm"
"51.417936091","-31dBm"
"51.419071354","-32dBm"
"54.047290876","-72dBm"
"54.149563632","-73dBm"
"54.772882303","-32dBm"
"54.825333895","-30dBm"
"55.788564327","-108dBm"
"55.890883029","-108dBm"
"57.631255242","-73dBm"
"57.734599553","-72dBm"
"58.348194405","-31dBm"
"58.450337521","-31dBm"
"59.475316650","-108dBm"
"61.113698779","-28dBm"
"61.215936877","-74dBm"
"61.318279010","-70dBm"
"62.034559656","-72dBm"
"64.696983287","-69dBm"
"64.799240731","-71dBm"
"64.902563115","-71dBm"
"65.428015153","-32dBm"
"65.516172057","-32dBm"
"65.618515188","-32dBm"
"66.438693408","-84dBm"
"68.281316886","-72dBm"
"68.383662250","-75dBm"
"68.997612052","-32dBm"
"69.100711245","-75dBm"
"69.203060082","-76dBm"
"70.022583173","-108dBm"
"71.763295891","-76dBm"
"71.865716433","-75dBm"
"71.967952758","-76dBm"
"72.581803388","-75dBm"
"75.346732980","-27dBm"
"75.449089790","-28dBm"
"75.551463281","-70dBm"
"76.063197136","-71dBm"
"76.268719330","-32dBm"
"78.930477170","-28dBm"
"79.034390233","-75dBm"
"79.647622988","-74dBm"
"79.749775194","-32dBm"
"82.412450184","-30dBm"
"82.514839123","-78dBm"
"82.617155268","-74dBm"
"83.231787957","-33dBm"
"83.334027771","-73dBm"
"84.255673765","-108dBm"
"85.996205444","-77dBm"
"86.098395886","-76dBm"
"86.713827500","-74dBm"
"86.816447102","-33dBm"
"86.917789859","-73dBm"
"89.580027652","-75dBm"
"89.683395381","-74dBm"
"90.296974749","-71dBm"
"90.400080166","-33dBm"
"90.502410471","-34dBm"
"93.062195683","-30dBm"
"93.164553104","-30dBm"
"93.266706327","-79dBm"
"93.881438899","-78dBm"
"93.983743093","-77dBm"
"96.646284986","-77dBm"
"96.748540576","-77dBm"
"97.567466976","-34dBm"
"100.230420593","-79dBm"
"100.333248243","-78dBm"
"100.947054144","-77dBm"
"101.049144944","-35dBm"
"101.151468267","-77dBm"
