"Time","signal strenght"
"0.140196039","-80dBm"
"0.242562006","-55dBm"
"0.856315154","-44dBm"
"3.723584534","-41dBm"
"3.826873171","-41dBm"
"4.441379424","-44dBm"
"7.308548805","-47dBm"
"8.127743079","-48dBm"
"10.735808560","-44dBm"
"10.737020337","-44dBm"
"11.609302362","-45dBm"
"15.091681258","-48dBm"
"15.193297931","-48dBm"
"17.855630542","-46dBm"
"18.060412008","-47dBm"
"18.777278212","-48dBm"
"21.644383125","-52dBm"
"22.258804805","-52dBm"
"25.024593877","-46dBm"
"25.125130674","-46dBm"
"25.745997829","-49dBm"
"25.844336698","-49dBm"
"29.324054559","-57dBm"
"29.426240455","-75dBm"
"29.529513228","-54dBm"
"32.190642815","-46dBm"
"32.294293639","-48dBm"
"33.011001110","-47dBm"
"36.399365356","-44dBm"
"36.491637533","-44dBm"
"36.595050578","-44dBm"
"39.257064572","-42dBm"
"39.972710304","-46dBm"
"40.177632088","-80dBm"
"42.841036466","-43dBm"
"42.906465837","-44dBm"
"42.940953053","-42dBm"
"42.949276451","-43dBm"
"42.951813274","-43dBm"
"42.953068139","-44dBm"
"43.557066162","-44dBm"
"43.661152496","-44dBm"
"46.527456296","-40dBm"
"49.950612109","-45dBm"
"49.951933448","-48dBm"
"49.953176958","-47dBm"
"49.954402458","-48dBm"
"49.960104261","-47dBm"
"49.961280108","-46dBm"
"49.962542425","-54dBm"
"49.963744239","-45dBm"
"49.965069391","-55dBm"
"50.724515662","-81dBm"
"54.206125805","-80dBm"
"54.309854391","-52dBm"
"57.177580902","-44dBm"
"57.791373337","-48dBm"
"57.996626322","-48dBm"
"60.556580500","-76dBm"
"61.374121539","-54dBm"
