"Time","signal strenght"
"2.056312995","-80dBm"
"2.158556137","-60dBm"
"5.640167554","-81dBm"
"8.301842422","-41dBm"
"9.224602629","-46dBm"
"12.705563802","-46dBm"
"16.187020372","-47dBm"
"16.278551613","-79dBm"
"16.284858485","-78dBm"
"16.290992450","-79dBm"
"16.292207267","-79dBm"
"16.294658293","-47dBm"
"16.296336192","-47dBm"
"16.297567218","-47dBm"
"16.299012165","-48dBm"
"19.771167286","-48dBm"
"19.873547400","-78dBm"
"19.975783266","-46dBm"
"22.536070463","-49dBm"
"22.638282958","-79dBm"
"22.740507883","-43dBm"
"23.354879749","-78dBm"
"23.457101797","-45dBm"
"26.221790012","-78dBm"
"26.325211580","-45dBm"
"29.652013906","-44dBm"
"29.703746248","-44dBm"
"29.810186743","-45dBm"
"30.421893890","-78dBm"
"30.523449333","-44dBm"
"30.625725321","-47dBm"
"33.390190331","-45dBm"
"34.004331960","-48dBm"
"34.114649748","-46dBm"
"37.691232414","-47dBm"
"41.070471281","-47dBm"
"41.275422523","-48dBm"
"44.653917569","-49dBm"
"44.858384022","-78dBm"
"47.627838593","-45dBm"
"48.237681086","-46dBm"
"48.340884373","-46dBm"
"48.443239763","-78dBm"
"51.833418556","-47dBm"
"51.924670597","-46dBm"
"54.587268611","-45dBm"
"55.303621239","-45dBm"
"55.405900148","-45dBm"
"55.508104632","-45dBm"
"58.170739133","-41dBm"
"58.887857759","-42dBm"
"59.092390521","-45dBm"
"62.574024681","-43dBm"
