"Time","signal strenght"
"1.930586871","-42dBm"
"2.032982433","-43dBm"
"2.647242992","-51dBm"
"2.749423069","-83dBm"
"2.852908805","-48dBm"
"5.412463810","-44dBm"
"5.514876594","-48dBm"
"5.619328867","-77dBm"
"6.240587999","-76dBm"
"8.996048615","-45dBm"
"9.098262993","-45dBm"
"9.201596350","-80dBm"
"9.815284735","-50dBm"
"12.580231026","-42dBm"
"13.296807713","-47dBm"
"16.163999647","-43dBm"
"16.266228474","-42dBm"
"16.892899823","-49dBm"
"16.983249723","-48dBm"
"17.085893271","-78dBm"
"19.645590214","-44dBm"
"19.851190599","-41dBm"
"23.230130740","-47dBm"
"23.332432659","-48dBm"
"23.434746682","-48dBm"
"24.048865215","-56dBm"
"24.151194546","-55dBm"
"26.813311559","-48dBm"
"26.916570141","-48dBm"
"27.734978548","-77dBm"
"30.397610952","-43dBm"
"30.499938823","-42dBm"
"31.114763957","-45dBm"
"31.319474610","-46dBm"
"33.879256221","-76dBm"
"33.981582217","-44dBm"
"34.083885552","-45dBm"
"37.464068639","-43dBm"
"37.565333542","-55dBm"
"37.668746070","-42dBm"
"38.384672638","-77dBm"
"41.047681957","-43dBm"
"41.150048305","-80dBm"
"41.866013778","-77dBm"
"44.632788463","-41dBm"
"44.704121212","-78dBm"
"44.734035059","-41dBm"
"44.753930345","-77dBm"
"44.755196782","-77dBm"
"44.757731640","-77dBm"
"44.759097022","-77dBm"
"44.765254388","-41dBm"
"44.766510490","-79dBm"
"45.552687494","-44dBm"
"48.113317054","-41dBm"
"48.215654920","-42dBm"
"51.696794005","-42dBm"
"51.799274744","-43dBm"
"52.413386763","-47dBm"
"52.618961514","-55dBm"
"55.281318726","-41dBm"
"55.383593585","-79dBm"
"56.202265578","-45dBm"
"58.864397086","-42dBm"
"58.976735780","-42dBm"
"59.581413225","-46dBm"
"62.347758906","-44dBm"
"62.449079696","-45dBm"
"63.165776116","-78dBm"
"63.268186252","-66dBm"
