"Time","signal strenght"
"1.699683193","-34dBm"
"1.801829722","-36dBm"
"2.628890971","-93dBm"
"5.293513438","-33dBm"
"9.686524689","-37dBm"
"12.350921091","-44dBm"
"12.451120345","-85dBm"
"13.281420240","-87dBm"
"15.944838636","-39dBm"
"16.035076057","-38dBm"
"16.649777085","-84dBm"
"16.752052289","-42dBm"
"16.854343561","-84dBm"
"19.414449315","-85dBm"
"20.178783935","-46dBm"
"20.180045421","-45dBm"
"20.181299952","-46dBm"
"20.182582884","-46dBm"
"20.185074858","-46dBm"
"20.186356652","-46dBm"
"20.192463262","-46dBm"
"20.233686729","-54dBm"
"20.335870300","-44dBm"
"22.998359316","-87dBm"
"23.100591999","-38dBm"
"23.715463676","-41dBm"
"23.920269667","-41dBm"
"26.583876748","-32dBm"
"26.685052329","-36dBm"
"27.298987223","-40dBm"
"27.503551805","-41dBm"
"30.067041928","-38dBm"
"30.166280208","-87dBm"
"33.647892791","-42dBm"
"34.467197480","-46dBm"
"34.571919554","-46dBm"
"37.948374383","-46dBm"
"38.051945239","-46dBm"
"38.153261263","-85dBm"
"40.815781615","-43dBm"
"41.737197352","-47dBm"
"44.297816180","-43dBm"
"44.447760235","-44dBm"
"44.459370793","-53dBm"
"44.460587942","-45dBm"
"44.463123302","-44dBm"
"44.466852406","-44dBm"
"44.502266847","-42dBm"
"47.882365090","-40dBm"
"47.984032338","-39dBm"
"48.621607928","-56dBm"
"48.655524059","-46dBm"
"48.659172180","-54dBm"
"51.465559341","-40dBm"
"51.567736242","-89dBm"
"55.049107366","-38dBm"
"55.151429404","-53dBm"
"59.360428347","-43dBm"
"62.320097071","-93dBm"
"62.936728409","-45dBm"
