"Time","signal strenght"
"0.888371027","-36dBm"
"0.991504259","-36dBm"
"1.606772768","-38dBm"
"5.087721565","-79dBm"
"5.189002667","-38dBm"
"7.953715228","-34dBm"
"8.056114691","-34dBm"
"8.670509229","-37dBm"
"8.875043306","-38dBm"
"11.434711889","-36dBm"
"11.537455416","-37dBm"
"11.639649336","-80dBm"
"12.356397020","-79dBm"
"15.018986906","-37dBm"
"15.838128541","-39dBm"
"18.602605751","-81dBm"
"19.421742832","-39dBm"
"19.525403112","-78dBm"
"22.289016868","-35dBm"
"23.098817749","-81dBm"
"23.099995788","-80dBm"
"23.102480523","-80dBm"
"23.106216095","-81dBm"
"23.108738300","-80dBm"
"23.109956478","-81dBm"
"23.113831401","-80dBm"
"25.873216389","-79dBm"
"26.590153125","-79dBm"
"29.457277409","-36dBm"
"32.836409570","-34dBm"
"33.041130600","-34dBm"
"33.553194288","-55dBm"
"33.655547706","-36dBm"
"33.757735680","-36dBm"
"36.421235474","-36dBm"
"36.522637356","-35dBm"
"37.136840829","-79dBm"
"37.240070722","-39dBm"
"40.004491835","-36dBm"
"40.720833949","-38dBm"
"41.746189830","-88dBm"
"43.485845417","-33dBm"
"43.692512352","-35dBm"
"44.407483465","-39dBm"
"47.070116718","-35dBm"
"47.173613205","-35dBm"
"47.274911865","-35dBm"
"51.575454884","-39dBm"
"54.237803561","-78dBm"
"54.347531726","-78dBm"
"55.057423099","-39dBm"
"55.159768662","-71dBm"
"57.719117722","-36dBm"
"57.822470586","-80dBm"
"58.640814011","-37dBm"
"61.306405394","-54dBm"
"62.227308415","-36dBm"
