"Time","signal strenght"
"0.661099483","-106dBm"
"1.377386811","-43dBm"
"4.039422576","-34dBm"
"4.141879661","-55dBm"
"7.726416136","-36dBm"
"8.545467137","-39dBm"
"11.207572233","-35dBm"
"11.924644776","-93dBm"
"12.026837378","-38dBm"
"12.129188215","-39dBm"
"14.792134100","-40dBm"
"15.610625415","-42dBm"
"18.486916815","-87dBm"
"19.194687152","-43dBm"
"21.856944962","-39dBm"
"21.960293169","-37dBm"
"22.676617751","-92dBm"
"22.778974273","-93dBm"
"25.575964067","-41dBm"
"26.158023989","-40dBm"
"29.128067413","-37dBm"
"29.741984482","-93dBm"
"29.844243169","-43dBm"
"29.946547980","-43dBm"
"32.507103017","-93dBm"
"32.711714899","-43dBm"
"33.325754849","-37dBm"
"36.091397541","-41dBm"
"36.193625982","-40dBm"
"37.012884280","-44dBm"
"39.776892596","-35dBm"
"40.394465022","-39dBm"
"40.493753754","-39dBm"
"40.596955289","-38dBm"
"43.361438073","-33dBm"
"43.975838891","-46dBm"
"44.078120935","-46dBm"
"46.740668037","-89dBm"
"46.843399584","-97dBm"
"47.519141199","-43dBm"
"47.662168983","-43dBm"
"47.685690239","-43dBm"
"47.691919180","-43dBm"
"47.698354883","-43dBm"
"50.341664913","-41dBm"
"50.342998801","-42dBm"
"50.345575401","-55dBm"
"50.346892202","-43dBm"
"50.350602342","-43dBm"
"50.351829775","-42dBm"
"50.361976740","-53dBm"
"51.143911682","-45dBm"
"51.250814248","-44dBm"
"53.914454888","-41dBm"
"54.625450779","-43dBm"
"54.727717757","-44dBm"
"57.389933712","-40dBm"
"57.492155935","-40dBm"
"57.594407169","-103dBm"
"58.208976250","-98dBm"
"64.568521840","-42dBm"
"65.274436530","-47dBm"
