"Time","signal strenght"
"1.646073760","-46dBm"
"2.362008222","-54dBm"
"2.464367044","-53dBm"
"5.340970799","-42dBm"
"5.946580577","-38dBm"
"6.048851964","-38dBm"
"8.711212443","-43dBm"
"8.813574254","-46dBm"
"8.915820624","-67dBm"
"9.530751409","-42dBm"
"9.633096552","-66dBm"
"12.297236019","-47dBm"
"12.362090575","-67dBm"
"12.397519176","-66dBm"
"13.216997608","-47dBm"
"15.828143647","-68dBm"
"15.993658462","-68dBm"
"16.698113540","-45dBm"
"16.800849585","-45dBm"
"19.360783684","-44dBm"
"19.463158342","-41dBm"
"19.565391569","-44dBm"
"20.179930022","-49dBm"
"20.282243341","-48dBm"
"22.944598069","-45dBm"
"23.048395574","-68dBm"
"23.764428673","-73dBm"
"26.524455859","-45dBm"
"26.530845358","-47dBm"
"26.631066980","-64dBm"
"27.347560338","-48dBm"
"27.449945034","-47dBm"
"29.498336688","-76dBm"
"30.009964522","-51dBm"
"30.112342081","-49dBm"
"30.214596563","-68dBm"
"30.931550409","-55dBm"
"33.594217711","-51dBm"
"33.696583129","-68dBm"
"33.798762980","-51dBm"
"34.515810004","-47dBm"
"37.178378523","-41dBm"
"37.280609189","-42dBm"
"37.895226570","-67dBm"
"38.102204950","-45dBm"
"40.767846494","-48dBm"
"40.864107802","-68dBm"
"41.478747392","-49dBm"
"41.581069301","-48dBm"
"44.244278652","-44dBm"
"44.346765418","-43dBm"
"44.448975941","-43dBm"
"45.063307294","-50dBm"
"45.165552635","-50dBm"
"47.827382749","-41dBm"
"47.929603574","-40dBm"
"48.032918289","-68dBm"
"48.646589042","-44dBm"
"51.514503549","-41dBm"
"52.128093290","-42dBm"
"52.231418641","-43dBm"
"52.334152873","-42dBm"
"54.995820861","-41dBm"
"55.097992642","-41dBm"
"55.814777627","-45dBm"
"58.477600128","-67dBm"
"58.579770863","-43dBm"
"58.682134699","-45dBm"
"59.296518798","-43dBm"
"59.409701517","-43dBm"
"62.074120007","-74dBm"
"62.163407202","-43dBm"
