"Time","signal strenght"
"0.050558604","-64dBm"
"0.152883091","-42dBm"
"2.712816691","-44dBm"
"2.816174591","-44dBm"
"2.918416504","-44dBm"
"3.635188243","-67dBm"
"6.297846475","-71dBm"
"6.400029540","-48dBm"
"7.014218310","-51dBm"
"9.984160523","-54dBm"
"10.598454740","-53dBm"
"10.803463696","-53dBm"
"13.465711443","-44dBm"
"13.567914452","-42dBm"
"14.284947478","-46dBm"
"16.947016291","-42dBm"
"17.049257011","-42dBm"
"17.163341501","-72dBm"
"17.868737131","-42dBm"
"20.531373528","-44dBm"
"20.633665939","-43dBm"
"21.349747431","-44dBm"
"21.453039976","-65dBm"
"24.115105572","-72dBm"
"24.217422430","-43dBm"
"24.934411496","-44dBm"
"27.596812780","-54dBm"
"27.711781616","-45dBm"
"27.801514577","-44dBm"
"28.415934673","-45dBm"
"31.180854856","-44dBm"
"31.283674822","-53dBm"
"31.384944341","-42dBm"
"32.102201273","-46dBm"
"34.766874513","-43dBm"
"34.867155371","-69dBm"
"35.686442865","-45dBm"
"38.348828734","-45dBm"
"38.451014157","-73dBm"
"39.065204857","-45dBm"
"41.939990470","-67dBm"
"42.649927135","-65dBm"
"45.416909203","-53dBm"
"45.517206712","-66dBm"
"45.619345048","-43dBm"
"46.130960634","-65dBm"
"46.335590006","-45dBm"
"49.000653465","-72dBm"
"49.103075039","-45dBm"
"49.714699951","-45dBm"
"49.818536810","-45dBm"
"49.931453584","-42dBm"
"52.480312386","-41dBm"
"52.685063177","-42dBm"
"56.064303791","-43dBm"
"56.166570193","-42dBm"
"56.268873746","-42dBm"
"56.883005539","-44dBm"
"59.647729954","-44dBm"
"59.749929092","-73dBm"
"60.467168739","-46dBm"
"60.569402397","-65dBm"
