"Time","signal strenght"
"0.424858601","-64dBm"
"0.630373399","-45dBm"
"3.190483345","-43dBm"
"3.292789376","-43dBm"
"3.395121611","-46dBm"
"4.008732839","-44dBm"
"4.124216000","-64dBm"
"6.787743099","-64dBm"
"6.875977913","-44dBm"
"6.979225649","-46dBm"
"7.593723481","-49dBm"
"7.696053548","-69dBm"
"10.358100452","-65dBm"
"10.461412004","-44dBm"
"11.177754842","-47dBm"
"11.280008430","-48dBm"
"13.839746848","-44dBm"
"13.941961083","-65dBm"
"14.044306947","-52dBm"
"17.525775781","-65dBm"
"17.629014766","-45dBm"
"21.007505185","-43dBm"
"21.724976961","-63dBm"
"21.827735160","-46dBm"
"21.928915471","-45dBm"
"24.592117428","-38dBm"
"24.694476927","-44dBm"
"25.310243329","-48dBm"
"28.073607362","-55dBm"
"28.175898553","-54dBm"
"28.278103653","-71dBm"
"28.995289326","-47dBm"
"31.656980219","-43dBm"
"31.760102248","-44dBm"
"32.373923069","-46dBm"
"32.476205094","-48dBm"
"35.241096891","-64dBm"
"35.344439261","-44dBm"
"35.958437358","-46dBm"
"36.060670621","-48dBm"
"36.163971773","-47dBm"
"38.723162476","-65dBm"
"38.825952274","-64dBm"
"38.928234374","-45dBm"
"39.550524475","-63dBm"
"42.308739428","-44dBm"
"42.512333248","-44dBm"
"43.125986506","-46dBm"
"43.229185228","-64dBm"
"45.891451701","-43dBm"
"45.993798612","-43dBm"
"46.710205589","-63dBm"
"49.475708905","-45dBm"
"49.577970176","-45dBm"
"50.205743050","-47dBm"
"50.397261880","-46dBm"
"52.958231062","-64dBm"
"53.059440013","-64dBm"
"53.776498922","-47dBm"
"53.878830589","-48dBm"
"56.542852377","-44dBm"
"56.643147956","-45dBm"
"56.745380231","-44dBm"
"57.462830916","-46dBm"
"60.125036499","-46dBm"
"60.227253639","-44dBm"
"60.944218889","-47dBm"
"61.046432083","-46dBm"
