"Time","signal strenght"
"1.755629941","-39dBm"
"1.854670419","-37dBm"
"2.466904171","-72dBm"
"2.569338114","-44dBm"
"2.672577361","-79dBm"
"5.336261408","-72dBm"
"6.155571474","-46dBm"
"8.817716467","-44dBm"
"8.919888813","-43dBm"
"10.558282938","-92dBm"
"10.769337111","-108dBm"
"12.401859768","-43dBm"
"13.221377183","-45dBm"
"13.324315606","-45dBm"
"15.985515454","-47dBm"
"16.088401431","-72dBm"
"16.702337445","-49dBm"
"20.387008450","-53dBm"
"23.766839462","-45dBm"
"23.971489430","-72dBm"
"27.452984331","-72dBm"
"27.555157328","-44dBm"
"28.067109293","-108dBm"
"30.136460280","-41dBm"
"30.137986250","-42dBm"
"30.149930551","-41dBm"
"30.151186202","-40dBm"
"30.152433016","-40dBm"
"30.153624110","-41dBm"
"30.154904401","-41dBm"
"30.169101466","-40dBm"
"30.181894696","-42dBm"
"30.355249787","-41dBm"
"30.934512597","-44dBm"
"31.036633703","-43dBm"
"34.530970987","-44dBm"
"34.621196041","-44dBm"
"37.350960776","-42dBm"
"37.355992797","-40dBm"
"41.585379998","-43dBm"
"41.686620513","-43dBm"
"44.350405023","-79dBm"
"44.453326891","-40dBm"
"44.553655838","-39dBm"
"45.168086640","-72dBm"
"45.270532045","-43dBm"
"48.128017767","-40dBm"
"48.651264062","-71dBm"
"48.853879239","-42dBm"
"55.817621033","-45dBm"
"55.919952682","-56dBm"
"62.882588017","-70dBm"
"62.963667663","-43dBm"
"62.965002553","-44dBm"
"62.972652922","-39dBm"
"62.973894165","-44dBm"
"62.976414000","-44dBm"
"62.979101753","-44dBm"
"62.980319826","-44dBm"
"62.981605474","-44dBm"
"62.986761037","-44dBm"
"63.087578741","-44dBm"
