"Time","signal strenght"
"0.909449438","-37dBm"
"1.621733642","-40dBm"
"1.724070633","-40dBm"
"5.103613732","-41dBm"
"5.308301947","-38dBm"
"8.899872639","-67dBm"
"9.711190471","-92dBm"
"11.452298252","-54dBm"
"12.374366770","-67dBm"
"13.294783131","-94dBm"
"15.036245750","-54dBm"
"15.240762219","-54dBm"
"15.855003794","-67dBm"
"15.958208160","-41dBm"
"16.776832971","-108dBm"
"18.619753228","-38dBm"
"19.336703606","-41dBm"
"19.553513100","-41dBm"
"20.361805865","-108dBm"
"22.216674723","-39dBm"
"22.923150868","-40dBm"
"23.023475665","-41dBm"
"23.948155755","-114dBm"
"25.890668010","-54dBm"
"26.504698867","-41dBm"
"26.608133672","-74dBm"
"27.529712059","-91dBm"
"27.631798682","-108dBm"
"31.112512656","-94dBm"
"31.215699539","-114dBm"
"32.956750420","-40dBm"
"33.570452729","-40dBm"
"33.672754101","-40dBm"
"34.594523874","-92dBm"
"40.022116837","-37dBm"
"40.124728983","-38dBm"
"43.505537054","-68dBm"
"44.424635643","-45dBm"
"47.804418015","-45dBm"
"48.008940481","-45dBm"
"48.930446589","-108dBm"
"50.773580425","-40dBm"
"51.490420266","-42dBm"
"54.908227988","-43dBm"
"54.978389770","-43dBm"
"55.047160129","-43dBm"
"55.064254901","-43dBm"
"55.065519638","-43dBm"
"55.066749023","-43dBm"
"55.076956251","-43dBm"
"55.078171824","-44dBm"
"55.079522858","-44dBm"
"58.454283862","-44dBm"
"58.556550945","-44dBm"
"59.682633384","-93dBm"
"62.039300505","-43dBm"
"62.242825082","-44dBm"
"63.163688369","-95dBm"
