"Time","signal strenght"
"0.480804587","-44dBm"
"0.583075992","-44dBm"
"1.709604714","-99dBm"
"3.347732544","-36dBm"
"3.464222740","-41dBm"
"4.176132387","-40dBm"
"4.269475619","-39dBm"
"5.088714217","-89dBm"
"6.840220396","-69dBm"
"6.932495508","-38dBm"
"7.034710002","-74dBm"
"7.649004076","-40dBm"
"7.751175237","-40dBm"
"10.413496947","-75dBm"
"10.516165174","-36dBm"
"10.618525308","-68dBm"
"11.233291102","-68dBm"
"13.997596859","-36dBm"
"14.099889232","-36dBm"
"14.831280425","-68dBm"
"17.581572462","-36dBm"
"17.685927172","-36dBm"
"18.298567208","-39dBm"
"18.503395690","-39dBm"
"21.063261377","-36dBm"
"21.165568127","-36dBm"
"21.267984183","-36dBm"
"21.985285482","-69dBm"
"24.647327268","-36dBm"
"24.749890863","-36dBm"
"25.466530041","-73dBm"
"25.568837965","-39dBm"
"28.231355150","-36dBm"
"28.436205864","-37dBm"
"28.949617467","-67dBm"
"29.153106360","-68dBm"
"31.815970108","-35dBm"
"31.918334180","-37dBm"
"32.532241144","-39dBm"
"32.622479612","-40dBm"
"32.736778472","-40dBm"
"35.299658639","-37dBm"
"35.399998900","-37dBm"
"35.502252644","-36dBm"
"36.116238371","-68dBm"
"36.140636537","-69dBm"
"36.141906552","-68dBm"
"36.143181750","-68dBm"
"36.144454692","-68dBm"
"36.145764700","-74dBm"
"36.149742782","-40dBm"
"36.150993833","-39dBm"
"36.152202875","-39dBm"
"36.157084756","-39dBm"
"38.881103119","-36dBm"
"38.983406926","-35dBm"
"39.085935152","-75dBm"
"39.802959533","-39dBm"
"42.465184719","-37dBm"
"42.567577217","-74dBm"
"43.182038480","-39dBm"
"44.206022391","-89dBm"
"46.049616325","-37dBm"
"46.151836226","-36dBm"
"46.766124084","-39dBm"
"46.870904320","-39dBm"
"46.970144734","-39dBm"
"49.633416943","-75dBm"
"49.735804132","-36dBm"
"50.349699917","-39dBm"
"50.451911903","-39dBm"
"53.217523828","-74dBm"
"53.319781664","-37dBm"
"53.937109931","-68dBm"
"54.036698542","-40dBm"
"54.960954968","-90dBm"
"56.699060985","-74dBm"
"56.801353647","-37dBm"
"56.913824340","-92dBm"
"57.415818237","-68dBm"
"57.518299248","-40dBm"
"57.620730994","-40dBm"
"58.438958650","-88dBm"
"58.645816903","-108dBm"
"60.999958532","-43dBm"
"61.102346704","-43dBm"
"62.023678044","-93dBm"
