"Time","signal strenght"
"1.743578810","-40dBm"
"2.355050974","-75dBm"
"2.458141753","-43dBm"
"2.560763167","-44dBm"
"5.123361946","-53dBm"
"5.224443190","-39dBm"
"5.326605244","-42dBm"
"5.940133113","-47dBm"
"6.043673494","-75dBm"
"9.522637580","-41dBm"
"9.624879244","-42dBm"
"13.106904915","-46dBm"
"13.209263551","-45dBm"
"16.590487633","-42dBm"
"20.174966777","-45dBm"
"20.277397647","-44dBm"
"23.048381902","-40dBm"
"27.240127144","-45dBm"
"30.104640314","-47dBm"
"30.821562517","-46dBm"
"30.923803525","-44dBm"
"33.701548957","-39dBm"
"35.361277441","-90dBm"
"37.990103439","-45dBm"
"41.575664907","-43dBm"
"41.595440575","-44dBm"
"41.600326997","-44dBm"
"41.602812023","-44dBm"
"41.606818803","-54dBm"
"41.611495660","-54dBm"
"41.678161550","-73dBm"
"45.158039369","-45dBm"
"47.822730636","-44dBm"
"48.639512891","-46dBm"
"49.768713219","-94dBm"
"51.404286183","-40dBm"
"52.120624084","-79dBm"
"52.326108350","-45dBm"
"55.707944855","-45dBm"
"55.813595265","-45dBm"
"59.394294963","-75dBm"
"60.417941456","-108dBm"
