"Time","signal strenght"
"0.481381000","-37dBm"
"1.095259221","-67dBm"
"3.860122056","-68dBm"
"3.962334816","-38dBm"
"4.065662623","-37dBm"
"4.782291346","-40dBm"
"7.444300099","-37dBm"
"7.548331328","-37dBm"
"8.160981074","-41dBm"
"11.030507244","-38dBm"
"11.130767734","-39dBm"
"11.233121377","-107dBm"
"11.848093671","-41dBm"
"11.950269789","-41dBm"
"14.510203231","-37dBm"
"14.612469311","-38dBm"
"14.714767996","-36dBm"
"18.196541145","-74dBm"
"18.298781450","-38dBm"
"18.912766983","-40dBm"
"19.016027853","-40dBm"
"21.678315077","-37dBm"
"21.780657618","-38dBm"
"22.400748765","-39dBm"
"22.496908291","-40dBm"
"23.521655168","-89dBm"
"23.623928971","-91dBm"
"25.262099818","-36dBm"
"25.364412571","-37dBm"
"25.979235383","-39dBm"
"26.081435781","-39dBm"
"26.183832024","-39dBm"
"28.743747416","-38dBm"
"28.846127164","-38dBm"
"28.954074147","-39dBm"
"28.955297866","-39dBm"
"28.956522030","-38dBm"
"28.957741267","-38dBm"
"28.958987407","-38dBm"
"28.960217801","-38dBm"
"28.961487784","-39dBm"
"28.962713764","-37dBm"
"28.963957876","-39dBm"
"28.965180317","-39dBm"
"28.966399222","-39dBm"
"28.967771678","-38dBm"
"28.977233038","-39dBm"
"28.994872425","-39dBm"
"28.996101656","-37dBm"
"28.997346280","-39dBm"
"29.562943903","-40dBm"
"32.327744869","-37dBm"
"32.429921812","-38dBm"
"32.532254714","-38dBm"
"33.147129794","-40dBm"
"33.249450061","-40dBm"
"35.915515260","-69dBm"
"36.013862649","-38dBm"
"36.116135013","-38dBm"
"36.321636439","-107dBm"
"36.730747439","-41dBm"
"39.495730393","-108dBm"
"39.597976526","-38dBm"
"40.314535175","-40dBm"
"40.416836699","-40dBm"
"43.079905062","-35dBm"
"43.182308478","-40dBm"
"43.899304669","-40dBm"
"44.001681608","-68dBm"
"46.560742692","-39dBm"
"46.766552497","-38dBm"
"50.145555287","-38dBm"
"50.247844368","-38dBm"
"50.350029167","-38dBm"
"50.964648660","-41dBm"
"51.066849986","-41dBm"
"53.729176112","-38dBm"
"53.835045392","-68dBm"
"54.548619651","-40dBm"
"57.313550591","-69dBm"
"57.415897747","-37dBm"
"58.132411605","-67dBm"
"58.235503359","-40dBm"
"60.794603163","-36dBm"
"60.896904886","-40dBm"
"61.614344207","-40dBm"
