"Time","signal strenght"
"0.322680011","-44dBm"
"0.423996735","-45dBm"
"3.085646459","-83dBm"
"3.187925186","-43dBm"
"3.290090263","-41dBm"
"3.905172873","-52dBm"
"4.007510903","-47dBm"
"6.669855213","-46dBm"
"6.772155471","-87dBm"
"10.150831283","-44dBm"
"10.356030173","-82dBm"
"13.735247462","-45dBm"
"13.760433602","-47dBm"
"13.761717591","-46dBm"
"13.763171675","-48dBm"
"13.769767325","-47dBm"
"13.837494586","-47dBm"
"13.855278766","-54dBm"
"13.860056791","-48dBm"
"13.861273078","-48dBm"
"13.863754434","-49dBm"
"13.864997551","-48dBm"
"13.868769166","-48dBm"
"13.869983296","-48dBm"
"13.939774264","-81dBm"
"17.319270770","-45dBm"
"17.421653062","-44dBm"
"20.913629868","-44dBm"
"21.825209565","-46dBm"
"24.488724896","-42dBm"
"24.589970702","-43dBm"
"27.968437559","-42dBm"
"28.071672559","-44dBm"
"28.174019007","-83dBm"
"32.269907719","-47dBm"
"35.136557392","-92dBm"
"35.238696682","-86dBm"
"38.617969033","-91dBm"
"38.721196048","-45dBm"
"38.823540899","-44dBm"
"42.202194257","-91dBm"
"42.304570804","-44dBm"
"45.786496727","-46dBm"
"45.888870964","-46dBm"
"49.268089863","-43dBm"
"49.370329135","-86dBm"
"49.474784618","-42dBm"
"50.189734607","-47dBm"
"52.852002426","-84dBm"
"52.954355237","-84dBm"
"53.056583523","-84dBm"
"53.773310961","-47dBm"
