"Time","signal strenght"
"0.172566038","-78dBm"
"0.848774499","-41dBm"
"3.654131229","-36dBm"
"4.473342972","-39dBm"
"7.135447357","-75dBm"
"7.240992456","-36dBm"
"7.956815690","-36dBm"
"8.057157763","-41dBm"
"10.719883270","-38dBm"
"10.822135070","-38dBm"
"11.436589457","-41dBm"
"14.201400793","-39dBm"
"14.303598452","-40dBm"
"14.405849842","-37dBm"
"14.965249072","-40dBm"
"14.966512268","-40dBm"
"14.967740956","-41dBm"
"14.968982517","-41dBm"
"14.970266424","-41dBm"
"14.971544354","-40dBm"
"14.974051705","-41dBm"
"14.975284586","-41dBm"
"15.023036329","-35dBm"
"15.123258320","-41dBm"
"17.784850235","-40dBm"
"17.895219122","-41dBm"
"18.501941819","-40dBm"
"18.604204877","-40dBm"
"21.368799874","-77dBm"
"21.471131568","-41dBm"
"22.086009924","-43dBm"
"22.290586248","-42dBm"
"24.850480867","-39dBm"
"25.056210286","-39dBm"
"25.669921286","-42dBm"
"25.772117492","-42dBm"
"28.434774701","-76dBm"
"28.640026214","-39dBm"
"29.254001959","-42dBm"
"32.018545764","-41dBm"
"32.120825469","-39dBm"
"32.837669480","-42dBm"
"35.603155355","-39dBm"
"35.705328745","-39dBm"
"36.421585807","-76dBm"
"39.189124968","-76dBm"
"39.290304189","-39dBm"
"39.903835719","-43dBm"
"42.669722868","-40dBm"
"42.772798320","-76dBm"
"43.384693779","-75dBm"
"46.251842701","-40dBm"
"46.355063785","-39dBm"
"46.970264098","-75dBm"
"49.835999556","-39dBm"
"49.938315720","-45dBm"
"53.322268531","-40dBm"
"53.420432655","-40dBm"
"54.035075474","-42dBm"
"54.137393644","-43dBm"
"57.619115058","-74dBm"
"57.721375805","-74dBm"
"57.823561498","-41dBm"
"60.383240509","-52dBm"
"60.485441386","-75dBm"
"60.587818842","-40dBm"
