"Time","signal strenght"
"0.960727603","-53dBm"
"1.062950145","-54dBm"
"3.725935323","-79dBm"
"3.827212535","-33dBm"
"4.544197282","-37dBm"
"7.206535434","-37dBm"
"8.026975705","-82dBm"
"8.130672981","-40dBm"
"11.610259789","-41dBm"
"11.712481529","-41dBm"
"14.382532877","-39dBm"
"15.193635523","-83dBm"
"15.298075384","-82dBm"
"17.958856391","-34dBm"
"18.778088277","-84dBm"
"18.880906188","-43dBm"
"21.440795725","-37dBm"
"21.543097607","-75dBm"
"22.259097649","-80dBm"
"22.362310196","-37dBm"
"25.740549026","-36dBm"
"25.946116882","-37dBm"
"29.529869709","-39dBm"
"32.294808372","-34dBm"
"35.775919124","-38dBm"
"36.595166031","-60dBm"
"39.257947688","-80dBm"
"40.077252671","-82dBm"
"40.179491629","-44dBm"
"43.660608890","-43dBm"
"47.142877775","-40dBm"
"47.245150615","-40dBm"
"50.010422737","-38dBm"
"50.726257598","-43dBm"
"50.828484084","-42dBm"
"53.593919400","-40dBm"
"54.210281079","-43dBm"
"54.415554166","-82dBm"
"57.177406640","-80dBm"
"57.894352373","-42dBm"
"57.997076299","-43dBm"
"60.761994370","-41dBm"
"61.376388454","-42dBm"
