"Time","signal strenght"
"2.066522089","-46dBm"
"2.168920705","-79dBm"
"2.271096018","-39dBm"
"2.988055855","-46dBm"
"5.650454723","-44dBm"
"5.752652015","-46dBm"
"5.854991475","-74dBm"
"6.462566103","-47dBm"
"6.468784442","-47dBm"
"6.470008493","-47dBm"
"6.471416249","-48dBm"
"9.336939764","-49dBm"
"10.053889386","-49dBm"
"12.818197212","-44dBm"
"12.920406586","-44dBm"
"14.559503871","-95dBm"
"14.764166835","-93dBm"
"16.300540281","-76dBm"
"16.402708050","-53dBm"
"16.505088228","-76dBm"
"17.221916732","-48dBm"
"19.987295165","-75dBm"
"20.088768912","-44dBm"
"20.703589623","-46dBm"
"23.492465412","-41dBm"
"23.496869920","-55dBm"
"23.569956716","-41dBm"
"24.196595039","-76dBm"
"27.052450637","-39dBm"
"27.154815680","-39dBm"
"27.871677168","-42dBm"
"27.974022053","-75dBm"
"30.533910792","-41dBm"
"30.636194995","-42dBm"
"30.738476789","-69dBm"
"31.505637786","-36dBm"
"31.511285078","-43dBm"
"31.521203139","-43dBm"
"31.527520169","-43dBm"
"31.528732779","-43dBm"
"31.529987692","-43dBm"
"34.117950782","-41dBm"
"34.220441956","-41dBm"
"34.322767241","-41dBm"
"34.848905297","-43dBm"
"35.039505977","-43dBm"
"37.701804846","-76dBm"
"37.804152063","-39dBm"
"41.387864792","-40dBm"
"42.104945888","-45dBm"
"44.767505654","-74dBm"
"44.972104994","-45dBm"
"45.567379323","-51dBm"
"45.579585930","-52dBm"
"45.688654468","-51dBm"
"45.733227107","-55dBm"
"48.352280204","-46dBm"
"48.453652676","-46dBm"
"48.555923566","-45dBm"
"51.935666344","-42dBm"
"52.037885405","-42dBm"
"52.651738065","-45dBm"
"56.236309607","-47dBm"
"56.440917188","-48dBm"
"57.260354693","-114dBm"
"59.000197190","-42dBm"
"59.103593066","-43dBm"
"59.819481485","-45dBm"
"59.922856558","-45dBm"
"62.687113191","-42dBm"
"62.789284422","-76dBm"
"63.506637467","-45dBm"
