"Time","signal strenght"
"0.000000000","-47dBm"
"2.662858489","-50dBm"
"2.765122174","-51dBm"
"2.867446283","-59dBm"
"4.607395122","-108dBm"
"6.246296223","-53dBm"
"6.348830236","-52dBm"
"6.962583472","-47dBm"
"7.065796137","-47dBm"
"7.168048036","-48dBm"
"9.830471600","-47dBm"
"9.932723380","-50dBm"
"10.548567674","-53dBm"
"10.649912399","-51dBm"
"10.752102589","-73dBm"
"13.417256821","-43dBm"
"13.517551050","-42dBm"
"16.895343257","-79dBm"
"16.998681010","-73dBm"
"17.100947381","-40dBm"
"17.714508222","-75dBm"
"17.817844878","-49dBm"
"20.479515813","-47dBm"
"20.581704196","-48dBm"
"21.197009062","-74dBm"
"21.299716585","-50dBm"
"21.400965881","-49dBm"
"23.961115500","-52dBm"
"24.063286892","-51dBm"
"24.166702246","-73dBm"
"24.782133957","-59dBm"
"27.545613129","-48dBm"
"27.647924226","-44dBm"
"27.750173331","-73dBm"
"31.129052974","-53dBm"
"31.232391566","-52dBm"
"31.334168903","-72dBm"
"31.846379771","-57dBm"
"32.051096625","-72dBm"
"34.713227175","-44dBm"
"34.815614247","-43dBm"
"35.532828233","-72dBm"
"35.637103870","-49dBm"
"38.197040758","-80dBm"
"38.297417595","-74dBm"
"38.399997757","-42dBm"
"39.014539954","-74dBm"
"41.778733140","-73dBm"
"41.880975762","-43dBm"
"41.983181570","-44dBm"
"42.597809556","-50dBm"
"45.363287047","-46dBm"
"45.467342329","-44dBm"
"45.567566314","-44dBm"
"46.285712855","-78dBm"
"48.947394758","-43dBm"
"49.049615728","-44dBm"
"49.765878582","-51dBm"
"49.868100506","-73dBm"
"52.530944770","-41dBm"
"52.633194883","-81dBm"
"56.012674471","-76dBm"
"56.123292998","-42dBm"
"56.217560702","-41dBm"
"56.831185562","-47dBm"
"59.596049482","-75dBm"
"59.698343254","-42dBm"
"59.801554252","-42dBm"
"60.415760076","-46dBm"
"60.535286490","-47dBm"
"60.536512706","-46dBm"
"60.543265778","-46dBm"
"60.544477477","-56dBm"
"60.545872684","-47dBm"
"60.548376090","-47dBm"
"61.542393545","-91dBm"
