"Time","signal strenght"
"1.281294821","-83dBm"
"1.383610961","-81dBm"
"2.000087218","-42dBm"
"4.762752316","-37dBm"
"4.864921059","-37dBm"
"4.967380774","-37dBm"
"5.581833295","-84dBm"
"5.684136082","-41dBm"
"8.346169739","-83dBm"
"8.449507744","-38dBm"
"9.267891182","-41dBm"
"11.930611903","-38dBm"
"12.647058635","-41dBm"
"12.750869936","-41dBm"
"12.852091164","-85dBm"
"15.411998155","-38dBm"
"15.514300394","-38dBm"
"15.617151779","-38dBm"
"16.231232133","-84dBm"
"16.333383328","-42dBm"
"18.995908977","-82dBm"
"19.098303472","-38dBm"
"19.200481537","-38dBm"
"19.815413221","-41dBm"
"22.580060708","-83dBm"
"22.682247568","-38dBm"
"22.790727012","-82dBm"
"23.501440157","-43dBm"
"26.164340805","-82dBm"
"26.266713272","-39dBm"
"26.880773532","-41dBm"
"26.983329166","-41dBm"
"27.085689648","-40dBm"
"29.747946481","-82dBm"
"29.850182299","-37dBm"
"30.567557160","-41dBm"
"30.669887063","-89dBm"
"31.795971590","-79dBm"
"33.230124335","-37dBm"
"33.332443942","-37dBm"
"33.445178567","-37dBm"
"34.049186062","-41dBm"
"34.151357804","-42dBm"
"36.813796083","-37dBm"
"36.916136734","-38dBm"
"37.020751978","-37dBm"
"37.632985098","-85dBm"
"40.397773788","-37dBm"
"40.501962618","-89dBm"
"41.114524676","-85dBm"
"41.319115574","-40dBm"
"43.879529953","-84dBm"
"43.981837145","-85dBm"
"44.085406862","-37dBm"
"44.698105073","-41dBm"
"47.463023544","-85dBm"
"47.565333219","-36dBm"
"47.667567982","-36dBm"
"48.285661637","-41dBm"
"51.047334849","-37dBm"
"51.149607436","-38dBm"
"51.765606515","-41dBm"
"51.866895914","-41dBm"
"51.969263874","-82dBm"
"54.631189571","-38dBm"
"54.733389653","-80dBm"
"55.348143380","-86dBm"
"55.450568211","-41dBm"
"58.112930700","-36dBm"
"58.217344099","-86dBm"
"58.317565464","-36dBm"
"58.932123069","-40dBm"
"59.034473195","-39dBm"
"61.799457610","-40dBm"
"61.901658477","-40dBm"
"62.515870932","-42dBm"
"62.618131495","-42dBm"
