"Time","signal strenght"
"2.469623628","-36dBm"
"2.565862207","-92dBm"
"2.668096902","-92dBm"
"6.149942223","-38dBm"
"6.969133248","-42dBm"
"9.734195618","-36dBm"
"10.348307363","-39dBm"
"13.126217233","-37dBm"
"13.317457946","-37dBm"
"16.696939544","-37dBm"
"20.280841259","-37dBm"
"20.383113382","-37dBm"
"23.865050584","-37dBm"
"23.966395651","-38dBm"
"23.967915068","-37dBm"
"23.987673411","-39dBm"
"28.165705450","-40dBm"
"30.930564594","-36dBm"
"31.032915383","-36dBm"
"38.200860945","-53dBm"
"41.579561512","-36dBm"
"41.682886097","-36dBm"
"45.164429710","-36dBm"
"45.266635125","-88dBm"
"45.983071242","-41dBm"
"48.645189176","-54dBm"
"48.850665626","-89dBm"
"52.229180121","-36dBm"
"52.433767463","-83dBm"
"53.048623323","-108dBm"
"55.813493332","-89dBm"
"55.915894659","-35dBm"
"62.981171376","-37dBm"
"63.698599687","-41dBm"
