"Time","signal strenght"
"1.294021607","-44dBm"
"1.397244481","-97dBm"
"2.215941895","-97dBm"
"4.980584314","-93dBm"
"5.748528573","-46dBm"
"8.360334607","-90dBm"
"8.462664913","-93dBm"
"8.564906585","-48dBm"
"9.281929472","-54dBm"
"11.945177629","-47dBm"
"12.048063069","-49dBm"
"12.660500356","-93dBm"
"12.711462338","-51dBm"
"12.721215149","-51dBm"
"12.726252776","-51dBm"
"12.735768485","-51dBm"
"12.737023238","-51dBm"
"12.738264098","-51dBm"
"12.744139320","-51dBm"
"12.745361532","-51dBm"
"12.746586559","-51dBm"
"12.752693872","-51dBm"
"12.753912003","-51dBm"
"12.755142236","-51dBm"
"12.762772794","-51dBm"
"12.868340758","-51dBm"
"15.540632122","-45dBm"
"15.630077381","-45dBm"
"16.244318930","-49dBm"
"16.452610126","-48dBm"
"19.009620062","-44dBm"
"19.111947555","-45dBm"
"19.215048209","-44dBm"
"19.834245381","-48dBm"
"22.593710127","-45dBm"
"22.695919449","-46dBm"
"22.798284783","-92dBm"
"26.177805842","-48dBm"
"26.280173224","-47dBm"
"26.894058550","-51dBm"
"26.996305036","-92dBm"
"29.761485217","-45dBm"
"29.863729284","-45dBm"
"30.487446088","-87dBm"
"30.580684293","-95dBm"
"30.682954292","-95dBm"
"33.242915840","-45dBm"
"33.345142570","-45dBm"
"34.068565974","-49dBm"
"34.071123653","-49dBm"
"34.072359730","-49dBm"
"34.073770018","-50dBm"
"34.075008498","-49dBm"
"34.076661307","-58dBm"
"34.077936081","-49dBm"
"34.079155269","-48dBm"
"34.080542051","-49dBm"
"36.827206297","-42dBm"
"36.929596405","-42dBm"
"40.411163851","-43dBm"
"40.516161665","-54dBm"
"41.142049040","-50dBm"
"41.230305568","-49dBm"
"41.332426795","-93dBm"
"43.892557542","-45dBm"
"43.994718568","-93dBm"
"44.097213882","-46dBm"
"44.711735029","-49dBm"
"47.476731398","-45dBm"
"47.579127900","-94dBm"
"47.681353969","-46dBm"
"48.196166327","-94dBm"
"51.060343283","-44dBm"
"51.777182230","-95dBm"
"54.541894634","-43dBm"
"54.644114606","-44dBm"
"54.747670842","-43dBm"
"58.228888107","-45dBm"
"58.945716555","-49dBm"
"61.709710618","-44dBm"
"61.811982408","-43dBm"
"62.426398860","-52dBm"
