"Time","signal strenght"
"1.689661083","-74dBm"
"2.406650302","-45dBm"
"2.611112300","-46dBm"
"5.171587339","-89dBm"
"5.273928663","-40dBm"
"5.376209405","-41dBm"
"5.989892487","-47dBm"
"6.094098853","-46dBm"
"8.755376115","-41dBm"
"8.857575186","-92dBm"
"8.960041420","-40dBm"
"9.478135470","-46dBm"
"9.676582503","-93dBm"
"12.339251513","-43dBm"
"13.056135317","-86dBm"
"13.172797439","-92dBm"
"13.261188128","-91dBm"
"15.923054081","-42dBm"
"16.639728584","-91dBm"
"19.507714824","-41dBm"
"19.610048549","-40dBm"
"20.224198153","-46dBm"
"22.989061643","-39dBm"
"23.091426435","-39dBm"
"23.193643928","-41dBm"
"23.910543508","-51dBm"
"26.572335971","-41dBm"
"26.674691289","-41dBm"
"27.392044886","-46dBm"
"27.494330360","-90dBm"
"30.156560156","-41dBm"
"30.258944711","-37dBm"
"30.976253388","-45dBm"
"33.640061784","-42dBm"
"33.741384279","-56dBm"
"33.842624565","-41dBm"
"37.437978885","-42dBm"
"38.041363076","-46dBm"
"40.806324852","-43dBm"
"40.908676968","-41dBm"
"41.522904545","-48dBm"
"41.626284543","-48dBm"
"41.730096516","-48dBm"
"44.389914700","-42dBm"
"44.492496136","-42dBm"
"45.107263180","-47dBm"
"45.209543242","-48dBm"
"45.311805756","-49dBm"
"47.872181447","-88dBm"
"47.974460074","-87dBm"
"48.090178573","-41dBm"
"48.793384475","-49dBm"
"51.455869110","-90dBm"
"51.558210792","-44dBm"
"51.661265806","-53dBm"
"52.274966267","-47dBm"
"52.377320508","-89dBm"
"55.040283158","-45dBm"
"55.142514791","-44dBm"
"55.759108432","-56dBm"
"55.859447218","-50dBm"
"55.961706268","-96dBm"
"58.626115998","-48dBm"
"59.340905391","-57dBm"
"59.443073998","-106dBm"
"59.545448445","-53dBm"
"62.208099849","-101dBm"
"62.310369946","-52dBm"
