"Time","signal strenght"
"0.765331517","-47dBm"
"0.868665927","-89dBm"
"3.531512692","-53dBm"
"3.734876006","-44dBm"
"4.352551520","-47dBm"
"4.452295364","-91dBm"
"7.933891277","-46dBm"
"10.596064366","-40dBm"
"11.415125415","-44dBm"
"14.999635602","-93dBm"
"17.868704017","-44dBm"
"18.582925234","-49dBm"
"18.686810039","-51dBm"
"21.350727665","-40dBm"
"22.167037125","-44dBm"
"22.269200232","-44dBm"
"24.932372821","-40dBm"
"25.648970610","-45dBm"
"25.751143160","-44dBm"
"28.413486383","-41dBm"
"28.633146465","-43dBm"
"28.634442401","-42dBm"
"29.232531655","-46dBm"
"29.342057713","-45dBm"
"32.817312432","-90dBm"
"35.496709531","-42dBm"
"35.683817708","-39dBm"
"36.298983001","-92dBm"
"39.271009158","-93dBm"
"39.280815658","-42dBm"
"39.287453927","-94dBm"
"39.296471770","-54dBm"
"39.297724654","-54dBm"
"39.298959817","-40dBm"
"43.568590113","-44dBm"
"46.231375602","-40dBm"
"46.318902744","-41dBm"
"46.320480362","-42dBm"
"46.322373794","-42dBm"
"46.324174288","-41dBm"
"46.325420580","-42dBm"
"46.327200142","-41dBm"
"46.328412193","-41dBm"
"46.948402490","-44dBm"
"47.050681424","-94dBm"
"50.532349114","-45dBm"
"54.218509632","-47dBm"
"57.597919581","-95dBm"
"60.467242605","-40dBm"
"61.284144080","-45dBm"
"61.386495034","-45dBm"
