"Time","signal strenght"
"0.886653282","-47dBm"
"0.988912894","-51dBm"
"3.651298921","-45dBm"
"4.368106154","-56dBm"
"4.470387747","-56dBm"
"4.573504990","-55dBm"
"8.157056114","-45dBm"
"10.720622878","-40dBm"
"11.536260535","-45dBm"
"15.228797748","-45dBm"
"22.288661942","-43dBm"
"22.395347781","-55dBm"
"29.456066107","-43dBm"
"30.172839547","-64dBm"
"32.265582215","-40dBm"
"32.266799513","-40dBm"
"32.268601675","-41dBm"
"32.298231926","-41dBm"
"32.835660003","-43dBm"
"32.938106582","-43dBm"
"33.040426497","-93dBm"
"35.677238408","-47dBm"
"35.870168742","-47dBm"
"35.871441217","-47dBm"
"35.872665906","-47dBm"
"35.873889900","-47dBm"
"35.875119030","-47dBm"
"35.876408076","-47dBm"
"35.878892045","-47dBm"
"35.880183143","-47dBm"
"35.881455860","-47dBm"
"36.418967068","-49dBm"
"36.521165931","-47dBm"
"36.624610960","-45dBm"
"40.017479737","-49dBm"
"40.105725206","-46dBm"
"40.207939844","-46dBm"
"42.767659463","-43dBm"
"43.586932375","-51dBm"
"53.622103413","-46dBm"
"54.236763938","-55dBm"
"57.206379358","-48dBm"
"57.820361134","-48dBm"
"57.923698030","-98dBm"
"61.302038034","-45dBm"
"61.404380155","-45dBm"
"61.507615682","-45dBm"
