"Time","signal strenght"
"0.512003045","-38dBm"
"3.173595673","-35dBm"
"3.379145396","-36dBm"
"3.992904555","-41dBm"
"6.726016434","-91dBm"
"6.727278996","-92dBm"
"6.728534774","-92dBm"
"6.729749081","-92dBm"
"6.730989041","-114dBm"
"6.736978677","-108dBm"
"6.741033031","-38dBm"
"7.577641340","-39dBm"
"7.669604938","-108dBm"
"7.678454032","-108dBm"
"10.341383482","-53dBm"
"10.450458166","-38dBm"
"11.263680627","-94dBm"
"13.925496786","-94dBm"
"17.407612239","-36dBm"
"17.612599155","-36dBm"
"20.991771004","-37dBm"
"21.104975398","-94dBm"
"24.677591187","-39dBm"
"25.395107211","-41dBm"
"28.159242004","-35dBm"
"28.261512326","-36dBm"
"28.978453692","-40dBm"
"35.225357909","-36dBm"
"35.429853572","-36dBm"
"38.808954390","-37dBm"
"38.917340644","-36dBm"
"47.578710442","-114dBm"
"49.459043574","-36dBm"
"49.561279567","-36dBm"
"49.663630679","-90dBm"
"50.277548916","-42dBm"
"53.042154508","-37dBm"
"53.187148235","-38dBm"
"53.188359644","-38dBm"
"53.190861793","-38dBm"
"53.194286554","-39dBm"
"53.869067023","-40dBm"
"56.626780817","-37dBm"
"57.548123404","-39dBm"
"60.313621326","-92dBm"
