"Time","signal strenght"
"2.519549918","-94dBm"
"2.724126864","-43dBm"
"5.283064152","-56dBm"
"6.103181823","-91dBm"
"6.205399599","-43dBm"
"9.072616661","-37dBm"
"9.789931079","-40dBm"
"12.452524076","-54dBm"
"13.168780515","-41dBm"
"13.271066167","-41dBm"
"16.755579401","-41dBm"
"16.856789807","-41dBm"
"17.571742445","-64dBm"
"19.517531784","-39dBm"
"19.619954187","-38dBm"
"20.439826820","-92dBm"
"23.205455196","-38dBm"
"26.687978852","-53dBm"
"26.789267795","-53dBm"
"27.402403158","-40dBm"
"27.607065833","-41dBm"
"30.987972660","-41dBm"
"31.089706565","-42dBm"
"33.853242828","-37dBm"
"33.957959970","-53dBm"
"34.674169612","-45dBm"
"38.052128904","-41dBm"
"38.154397388","-41dBm"
"41.635514591","-41dBm"
"44.400861318","-41dBm"
"45.173185102","-45dBm"
"45.222692094","-93dBm"
"45.321952335","-93dBm"
"48.091215084","-39dBm"
"48.189429288","-68dBm"
"48.805381590","-91dBm"
"48.906757241","-91dBm"
"51.671449217","-39dBm"
"52.285158269","-43dBm"
"52.387431510","-91dBm"
"52.452240641","-91dBm"
"52.453480214","-91dBm"
"52.454718235","-91dBm"
"52.455995744","-91dBm"
"52.458520607","-91dBm"
"52.489751099","-43dBm"
"55.255270736","-40dBm"
"55.971259944","-44dBm"
"59.453166087","-92dBm"
"62.423285706","-39dBm"
"62.934776917","-43dBm"
"63.037640353","-43dBm"
