"Time","signal strenght"
"0.039766882","-46dBm"
"2.599891093","-42dBm"
"2.702078956","-41dBm"
"2.804385885","-41dBm"
"3.419397834","-45dBm"
"3.522380166","-45dBm"
"6.285851346","-40dBm"
"7.002851795","-45dBm"
"7.111816213","-44dBm"
"9.773168367","-94dBm"
"10.484839096","-44dBm"
"10.587176985","-44dBm"
"10.689425819","-95dBm"
"10.704710596","-44dBm"
"10.705974177","-44dBm"
"10.710116391","-44dBm"
"10.711978158","-44dBm"
"10.715689131","-45dBm"
"10.716923091","-45dBm"
"13.351443356","-41dBm"
"13.453745168","-87dBm"
"14.068714723","-45dBm"
"14.273548791","-95dBm"
"17.037751114","-54dBm"
"17.652861531","-46dBm"
"17.765353857","-44dBm"
"20.427391374","-42dBm"
"20.519721348","-94dBm"
"21.134203063","-95dBm"
"21.338679928","-46dBm"
"24.001517815","-41dBm"
"24.718529165","-97dBm"
"24.923153854","-45dBm"
"28.302299985","-44dBm"
"28.418235822","-44dBm"
"31.068446108","-41dBm"
"31.170600751","-54dBm"
"31.886592328","-46dBm"
"34.651108285","-53dBm"
"34.753358534","-42dBm"
"35.368245453","-46dBm"
"35.470456061","-95dBm"
"35.572741155","-46dBm"
"38.337668075","-41dBm"
"38.951284555","-45dBm"
"39.054457386","-95dBm"
"41.716315102","-42dBm"
"41.818669003","-42dBm"
"41.920928364","-97dBm"
"42.536258469","-45dBm"
"42.638458288","-46dBm"
"45.505441602","-42dBm"
"46.119133647","-45dBm"
"46.222335806","-45dBm"
"48.885796150","-42dBm"
"48.987146361","-54dBm"
"49.602151097","-45dBm"
"49.703329044","-45dBm"
"49.805732078","-45dBm"
"52.468702863","-42dBm"
"52.572066806","-42dBm"
"53.287874381","-45dBm"
"53.390095384","-46dBm"
"56.154994514","-95dBm"
"56.769635485","-47dBm"
"56.871876676","-94dBm"
"59.636945823","-43dBm"
"59.740737829","-43dBm"
"60.352752084","-95dBm"
"60.456038302","-48dBm"
