"Time","signal strenght"
"0.048422596","-71dBm"
"0.151753166","-71dBm"
"0.765436159","-38dBm"
"3.632362064","-70dBm"
"3.734572716","-70dBm"
"4.451577507","-70dBm"
"7.114053591","-69dBm"
"7.216362572","-70dBm"
"7.319735204","-40dBm"
"7.933316508","-70dBm"
"8.035406262","-71dBm"
"8.957769231","-91dBm"
"10.700427615","-71dBm"
"10.800761677","-34dBm"
"11.619556685","-69dBm"
"14.282439949","-71dBm"
"14.384659948","-71dBm"
"17.763373100","-34dBm"
"17.866638840","-34dBm"
"17.968963678","-36dBm"
"18.583525073","-71dBm"
"21.347555127","-71dBm"
"21.449894890","-73dBm"
"22.064599039","-70dBm"
"22.168256381","-41dBm"
"23.088488040","-92dBm"
"24.931791794","-73dBm"
"25.034110562","-72dBm"
"25.750963868","-38dBm"
"28.413938700","-35dBm"
"28.516113044","-73dBm"
"28.618449384","-35dBm"
"29.232954558","-78dBm"
"29.335190679","-72dBm"
"31.996893075","-33dBm"
"32.095040896","-73dBm"
"32.100536936","-74dBm"
"32.114971515","-34dBm"
"32.206644288","-34dBm"
"35.581601575","-34dBm"
"35.683770867","-72dBm"
"36.302226067","-38dBm"
"36.502846933","-38dBm"
"39.063196994","-33dBm"
"39.165448201","-73dBm"
"39.267723637","-72dBm"
"42.646904826","-72dBm"
"42.749242456","-73dBm"
"43.356892883","-36dBm"
"46.230626405","-34dBm"
"46.333808830","-72dBm"
"47.009482694","-38dBm"
"47.152223373","-72dBm"
"49.713161242","-73dBm"
"49.815407330","-71dBm"
"49.917726634","-35dBm"
"50.531773604","-38dBm"
"50.633872698","-71dBm"
"53.296704245","-34dBm"
"53.399083310","-72dBm"
"54.081975887","-38dBm"
"54.217838902","-72dBm"
"56.880292084","-73dBm"
"56.982615669","-73dBm"
"60.361766355","-72dBm"
"60.465063733","-73dBm"
"60.567301399","-72dBm"
"61.181097218","-71dBm"
"61.283301177","-71dBm"
"63.945726307","-31dBm"
"64.048973827","-36dBm"
"64.151310894","-72dBm"
"64.764977038","-71dBm"
"64.867328246","-37dBm"
"65.687408699","-93dBm"
"67.530240003","-71dBm"
"67.632491855","-71dBm"
"68.247174630","-39dBm"
"68.349626923","-71dBm"
"71.011820964","-36dBm"
"71.114107663","-72dBm"
"71.216435704","-35dBm"
"71.831392752","-39dBm"
