"Time","signal strenght"
"1.477588945","-79dBm"
"1.579945411","-79dBm"
"2.193568230","-44dBm"
"2.296833061","-43dBm"
"2.399059966","-44dBm"
"4.958718939","-41dBm"
"5.064634683","-41dBm"
"5.187533105","-80dBm"
"5.777533200","-47dBm"
"5.880674232","-45dBm"
"5.894715451","-45dBm"
"8.542864611","-77dBm"
"8.645157990","-45dBm"
"9.259778930","-76dBm"
"9.464459644","-76dBm"
"12.126355843","-75dBm"
"12.229603457","-78dBm"
"12.843852875","-48dBm"
"15.610456868","-45dBm"
"15.711165414","-64dBm"
"15.815047906","-45dBm"
"16.428093978","-52dBm"
"16.530633640","-51dBm"
"19.192093589","-76dBm"
"19.294505864","-79dBm"
"20.011235578","-50dBm"
"20.113572979","-50dBm"
"22.776387609","-43dBm"
"22.879804705","-43dBm"
"23.493219580","-78dBm"
"23.601529982","-49dBm"
"26.257844717","-42dBm"
"26.360049390","-42dBm"
"26.462283419","-42dBm"
"27.076937840","-76dBm"
"27.179173716","-48dBm"
"29.841490509","-78dBm"
"29.948087575","-42dBm"
"30.559097099","-77dBm"
"30.661199229","-78dBm"
"30.763621324","-44dBm"
"33.426393618","-77dBm"
"33.528622263","-41dBm"
"34.142291285","-54dBm"
"34.244664729","-77dBm"
"34.346903398","-59dBm"
"36.908014903","-79dBm"
"37.010127196","-47dBm"
"37.112353987","-47dBm"
"37.726465695","-55dBm"
"37.828646788","-58dBm"
"40.491783780","-46dBm"
"40.602285019","-47dBm"
"41.207899719","-52dBm"
"41.311051136","-52dBm"
"41.413474810","-80dBm"
"44.075214682","-44dBm"
"44.177473008","-44dBm"
"44.792293522","-78dBm"
"44.894549595","-79dBm"
"44.996784092","-78dBm"
"47.557137373","-76dBm"
"47.659345847","-46dBm"
"47.761629219","-79dBm"
"48.376366612","-52dBm"
"48.478539004","-79dBm"
"51.141350885","-47dBm"
"51.257137971","-81dBm"
"51.345476868","-82dBm"
"51.857884633","-80dBm"
"51.960029821","-52dBm"
"52.062380618","-79dBm"
"54.725128744","-79dBm"
"54.827262660","-79dBm"
"55.646988812","-56dBm"
"58.206506482","-78dBm"
"58.308915799","-79dBm"
"58.411023525","-80dBm"
"59.025890272","-53dBm"
"61.790459505","-79dBm"
"61.892569290","-80dBm"
"61.995879081","-81dBm"
"62.507265157","-47dBm"
"62.609518230","-78dBm"
"62.712552768","-49dBm"
"65.376368023","-78dBm"
"65.476689405","-80dBm"
"66.091345257","-47dBm"
"66.193580093","-79dBm"
"68.856317733","-43dBm"
"68.861790833","-45dBm"
"68.958561745","-44dBm"
"69.060673814","-80dBm"
"69.675911442","-48dBm"
"69.778071873","-79dBm"
"72.441334764","-45dBm"
"72.644868218","-46dBm"
"73.259380737","-79dBm"
"73.367609312","-50dBm"
"76.031808878","-79dBm"
"76.127016169","-45dBm"
"76.843598580","-48dBm"
"76.945740682","-47dBm"
"79.507936144","-44dBm"
"79.608263413","-44dBm"
"79.710487909","-43dBm"
"80.325489532","-79dBm"
"80.427690526","-79dBm"
"83.089558876","-78dBm"
"83.191649831","-79dBm"
"83.908895556","-46dBm"
"84.000811097","-79dBm"
"84.023583671","-79dBm"
"86.687277014","-79dBm"
"86.776540018","-80dBm"
"87.390078217","-48dBm"
"87.493361293","-48dBm"
"90.155089266","-45dBm"
"90.257313596","-44dBm"
"90.359622904","-79dBm"
"90.974946868","-50dBm"
"91.077132509","-78dBm"
"93.739314588","-46dBm"
"93.841624177","-81dBm"
"94.560187870","-48dBm"
"94.660466176","-49dBm"
"97.322868282","-79dBm"
"97.426198352","-79dBm"
"98.039794785","-54dBm"
"98.143106167","-55dBm"
"100.806635333","-79dBm"
"100.906897857","-79dBm"
"101.010097768","-79dBm"
"101.624281446","-66dBm"
"101.726441543","-78dBm"
"104.392468739","-79dBm"
"104.493748326","-51dBm"
"105.105649280","-55dBm"
"107.975168693","-47dBm"
"108.098566516","-45dBm"
"108.695278245","-58dBm"
"108.798392187","-56dBm"
"108.899581186","-56dBm"
"111.463714652","-48dBm"
"111.535346341","-49dBm"
"111.557727597","-81dBm"
"111.661454724","-47dBm"
"112.274300253","-53dBm"
"112.376487260","-51dBm"
"115.038788002","-81dBm"
"115.140954449","-48dBm"
"115.755481436","-55dBm"
"115.857717713","-52dBm"
