"Time","signal strenght"
"0.084724280","-80dBm"
"3.463663209","-83dBm"
"3.568031856","-40dBm"
"7.048333306","-82dBm"
"7.150462409","-82dBm"
"7.764210841","-85dBm"
"7.833440036","-49dBm"
"7.867553461","-50dBm"
"10.529407853","-38dBm"
"10.631757091","-82dBm"
"10.733927810","-39dBm"
"14.113861257","-86dBm"
"14.223616261","-39dBm"
"17.697179892","-82dBm"
"17.799444980","-83dBm"
"18.360912013","-46dBm"
"18.363427752","-46dBm"
"18.364704876","-46dBm"
"18.365984543","-46dBm"
"18.367215631","-46dBm"
"18.414601912","-46dBm"
"18.516851855","-45dBm"
"21.178758283","-39dBm"
"21.280991205","-39dBm"
"21.384237181","-88dBm"
"21.998012501","-43dBm"
"22.100223581","-88dBm"
"24.740833490","-83dBm"
"24.762634776","-84dBm"
"24.879298612","-82dBm"
"25.479533030","-41dBm"
"28.347302751","-38dBm"
"28.449537588","-85dBm"
"31.828632957","-38dBm"
"31.931011439","-84dBm"
"32.033139642","-85dBm"
"32.647866021","-88dBm"
"35.412582461","-90dBm"
"35.514791128","-39dBm"
"38.893933849","-39dBm"
"38.998424330","-40dBm"
"39.098654712","-40dBm"
"42.478313960","-37dBm"
"42.580572521","-92dBm"
"42.682797390","-89dBm"
"46.062009821","-84dBm"
"46.164219128","-83dBm"
"46.881222938","-41dBm"
"46.989148199","-41dBm"
"49.543531202","-36dBm"
"49.653186343","-87dBm"
"49.748443543","-87dBm"
"53.128171826","-38dBm"
"53.230923261","-36dBm"
"53.332141707","-88dBm"
"53.844094311","-40dBm"
"53.947335598","-40dBm"
"54.050075497","-89dBm"
"56.711601872","-88dBm"
"56.813880722","-87dBm"
"57.428630436","-40dBm"
"57.530811384","-39dBm"
"60.193559330","-38dBm"
"60.308122494","-89dBm"
"60.398292185","-37dBm"
"61.012858310","-91dBm"
"61.115286366","-41dBm"
"63.777130119","-38dBm"
"63.858411102","-89dBm"
"63.879284234","-38dBm"
"63.898970069","-88dBm"
"63.982587359","-89dBm"
"64.698641236","-91dBm"
"67.361801813","-87dBm"
"67.464061322","-84dBm"
"68.077803012","-40dBm"
"68.180943624","-88dBm"
"68.283123834","-41dBm"
"70.842401867","-89dBm"
"70.945720548","-88dBm"
"71.048039219","-89dBm"
"71.765047059","-41dBm"
"74.428156337","-89dBm"
"74.529368235","-87dBm"
"74.631569201","-36dBm"
"75.246380421","-89dBm"
"75.348502788","-40dBm"
"78.011197739","-37dBm"
"78.114633008","-88dBm"
"78.727510058","-90dBm"
"78.933009756","-87dBm"
"81.595118621","-88dBm"
"81.697401149","-88dBm"
"82.420540144","-40dBm"
"85.085286513","-90dBm"
"85.178561530","-85dBm"
"85.280794739","-93dBm"
"85.895555256","-88dBm"
"85.997859356","-88dBm"
"88.660757600","-86dBm"
"88.762876222","-87dBm"
"89.376998179","-40dBm"
"89.479186619","-87dBm"
"89.582548309","-39dBm"
"92.244386288","-36dBm"
"92.346868219","-87dBm"
"92.961567218","-88dBm"
"93.077478353","-41dBm"
"95.728055964","-85dBm"
"95.828292404","-39dBm"
"95.930536190","-85dBm"
"96.471075008","-43dBm"
"96.472233500","-43dBm"
"96.473575585","-43dBm"
"96.511387487","-44dBm"
"96.545162494","-44dBm"
"99.310129991","-42dBm"
"99.412356951","-89dBm"
"100.129208214","-89dBm"
"100.231466767","-49dBm"
"102.791652597","-45dBm"
"102.893963068","-90dBm"
"102.996307314","-45dBm"
"103.611209638","-91dBm"
"103.713347841","-89dBm"
"106.375987996","-44dBm"
"106.472441465","-44dBm"
"106.479202313","-44dBm"
"106.580368824","-43dBm"
"107.197508010","-91dBm"
"109.959791180","-91dBm"
"110.062103863","-43dBm"
"110.677279922","-89dBm"
"110.778578532","-45dBm"
"110.880672250","-90dBm"
"113.543183880","-42dBm"
"113.646434333","-42dBm"
