"Time","signal strenght"
"0.287200294","-45dBm"
"1.208048666","-92dBm"
"1.412679601","-95dBm"
"3.051139990","-40dBm"
"3.153477473","-44dBm"
"3.767787492","-42dBm"
"3.870989406","-69dBm"
"6.533345715","-68dBm"
"6.635820052","-72dBm"
"6.738087914","-72dBm"
"7.352638460","-68dBm"
"7.455000969","-68dBm"
"10.117014513","-71dBm"
"10.219279312","-72dBm"
"10.323484591","-37dBm"
"10.936591960","-69dBm"
"11.038840848","-43dBm"
"11.858032330","-108dBm"
"13.701287741","-69dBm"
"13.803645138","-76dBm"
"14.418300749","-43dBm"
"14.520575840","-42dBm"
"14.622895034","-42dBm"
"17.182481233","-40dBm"
"17.284841063","-70dBm"
"17.387097987","-70dBm"
"18.001751555","-68dBm"
"18.104085201","-40dBm"
"20.767083120","-41dBm"
"20.869343407","-71dBm"
"20.971535673","-71dBm"
"21.586149230","-69dBm"
"21.688431751","-70dBm"
"24.350319595","-67dBm"
"24.390001716","-43dBm"
"24.391208204","-45dBm"
"24.399607675","-44dBm"
"24.456487963","-69dBm"
"24.525991459","-41dBm"
"24.527249951","-43dBm"
"24.530958786","-42dBm"
"24.532202532","-42dBm"
"24.533435282","-42dBm"
"24.534680316","-44dBm"
"24.536018150","-43dBm"
"24.537254504","-42dBm"
"24.538471338","-43dBm"
"25.285160911","-46dBm"
"25.291452549","-46dBm"
"25.292663040","-46dBm"
"25.293898295","-46dBm"
"25.295124666","-46dBm"
"26.193875423","-108dBm"
"26.296062758","-108dBm"
"27.934863116","-71dBm"
"28.037046012","-71dBm"
"29.880150861","-90dBm"
"31.518738827","-70dBm"
"31.620947772","-38dBm"
"32.337916308","-44dBm"
"33.259966424","-108dBm"
"33.362458540","-108dBm"
"34.999941601","-71dBm"
"35.112294583","-71dBm"
"35.204557768","-72dBm"
"35.921422520","-42dBm"
"38.584108811","-71dBm"
"38.686405795","-72dBm"
"39.301233400","-42dBm"
"39.403517048","-70dBm"
"39.505762763","-76dBm"
"42.066385072","-38dBm"
"42.168664214","-67dBm"
"42.270861997","-71dBm"
"42.885703972","-69dBm"
"42.986890026","-69dBm"
"45.649570972","-70dBm"
"45.854826902","-70dBm"
"46.469451340","-69dBm"
"46.571715903","-70dBm"
"49.171495252","-40dBm"
"49.234079557","-67dBm"
"49.336328026","-40dBm"
"49.950958895","-70dBm"
"50.053260308","-69dBm"
"50.128415511","-70dBm"
"50.974818511","-108dBm"
"51.077045494","-114dBm"
"51.128359780","-108dBm"
"51.142666764","-108dBm"
"51.144649611","-108dBm"
"51.145909272","-108dBm"
"51.147127742","-108dBm"
"51.148373904","-108dBm"
"51.149610850","-108dBm"
"51.150882938","-108dBm"
"51.152118722","-108dBm"
"51.171909377","-108dBm"
"51.173141807","-108dBm"
"52.715177873","-39dBm"
"52.817498208","-39dBm"
"52.919774253","-69dBm"
"53.636771907","-70dBm"
"54.660673159","-108dBm"
"56.280309209","-72dBm"
"56.298495580","-39dBm"
"56.300029938","-38dBm"
"56.402218818","-38dBm"
"56.504594375","-71dBm"
"58.142473694","-95dBm"
"58.244696345","-94dBm"
"59.887066678","-70dBm"
"59.985337284","-65dBm"
"60.600274501","-45dBm"
"60.702542552","-68dBm"
"63.365424073","-43dBm"
"63.458899280","-69dBm"
"63.467671300","-69dBm"
"63.569824619","-70dBm"
"64.184643452","-68dBm"
"64.286921908","-44dBm"
"65.174279399","-95dBm"
"66.948261882","-69dBm"
"66.959571713","-45dBm"
"66.960799745","-46dBm"
"66.962229068","-46dBm"
"67.051549532","-66dBm"
"67.129806337","-44dBm"
"67.153728192","-47dBm"
"67.687031663","-48dBm"
"67.808966353","-48dBm"
"67.812767336","-48dBm"
"67.816540407","-48dBm"
"67.819033800","-48dBm"
"67.879244517","-47dBm"
"70.542681792","-43dBm"
"70.544212671","-43dBm"
"70.635482572","-68dBm"
"70.650429619","-43dBm"
"70.657985503","-42dBm"
"71.249461388","-42dBm"
"71.351783403","-69dBm"
"74.116861466","-40dBm"
"74.219041664","-40dBm"
"74.834277576","-69dBm"
"74.936432287","-69dBm"
"77.576855965","-71dBm"
"77.597265796","-38dBm"
"77.599133861","-38dBm"
"77.701338441","-71dBm"
"77.803670870","-72dBm"
"78.417463867","-39dBm"
"78.520414186","-44dBm"
"81.184128398","-69dBm"
"81.285394899","-68dBm"
"81.341721246","-69dBm"
"82.103942462","-55dBm"
"83.025449603","-108dBm"
