"Time","signal strenght"
"0.797862368","-72dBm"
"0.899991915","-72dBm"
"1.513662753","-59dBm"
"1.616899670","-47dBm"
"1.719282705","-69dBm"
"4.381452009","-58dBm"
"4.483768756","-71dBm"
"5.097775092","-54dBm"
"7.862825829","-71dBm"
"7.965267169","-71dBm"
"8.067439636","-70dBm"
"8.682037670","-52dBm"
"9.808998445","-114dBm"
"11.447215414","-70dBm"
"11.549450329","-71dBm"
"12.163284023","-51dBm"
"12.367909871","-50dBm"
"15.030892667","-51dBm"
"15.133252178","-72dBm"
"15.747170077","-71dBm"
"15.850326034","-52dBm"
"18.512841500","-53dBm"
"18.615165207","-70dBm"
"18.717427723","-58dBm"
"19.332014776","-49dBm"
"19.434246832","-49dBm"
"22.096740140","-43dBm"
"22.099873112","-43dBm"
"22.199023717","-70dBm"
"22.916074579","-47dBm"
"23.018200871","-46dBm"
"25.679870380","-45dBm"
"25.783235799","-73dBm"
"26.499373164","-50dBm"
"26.601620507","-70dBm"
"29.162200470","-45dBm"
"29.264608020","-71dBm"
"29.362778742","-72dBm"
"29.366856916","-72dBm"
"29.981519801","-71dBm"
"32.745727359","-73dBm"
"32.848089044","-72dBm"
"33.564992117","-52dBm"
"33.593526707","-52dBm"
"33.594745801","-52dBm"
"33.596058782","-52dBm"
"33.598539416","-53dBm"
"33.599774725","-53dBm"
"33.601011621","-52dBm"
"33.602264109","-52dBm"
"33.603497966","-52dBm"
"33.604710123","-53dBm"
"36.330009662","-72dBm"
"36.432389279","-53dBm"
"37.046674561","-48dBm"
"39.811191226","-52dBm"
"39.870172408","-49dBm"
"39.915042965","-47dBm"
"40.016426361","-73dBm"
"40.630263674","-55dBm"
"40.733624280","-71dBm"
"41.758875644","-108dBm"
"43.395375485","-72dBm"
"43.497506781","-72dBm"
"44.112251255","-71dBm"
"44.214504735","-72dBm"
"46.979772009","-73dBm"
"47.085582914","-73dBm"
"47.798550466","-52dBm"
"50.460969340","-48dBm"
"50.563316068","-72dBm"
"50.665473986","-73dBm"
"51.382818376","-54dBm"
"54.044714558","-72dBm"
"54.146995738","-73dBm"
"54.250097559","-51dBm"
"54.761489896","-72dBm"
"54.863871756","-55dBm"
"57.633428039","-51dBm"
"57.739387797","-73dBm"
"58.451673615","-49dBm"
"58.554864982","-50dBm"
"61.110536726","-59dBm"
"61.213020038","-71dBm"
"61.315149704","-54dBm"
"61.929670257","-57dBm"
"62.032038450","-71dBm"
"64.694947387","-72dBm"
"64.797067343","-72dBm"
"65.410963569","-60dBm"
"65.514216031","-72dBm"
"68.278261686","-69dBm"
"68.393331523","-74dBm"
"68.995971101","-58dBm"
"69.200546902","-55dBm"
"71.760336789","-49dBm"
"71.862674632","-52dBm"
"71.964912893","-73dBm"
"75.344599672","-68dBm"
"75.446883841","-71dBm"
"76.060491942","-60dBm"
"76.163763607","-70dBm"
"76.266005652","-57dBm"
"78.928343724","-70dBm"
"79.030658048","-71dBm"
"79.645541863","-53dBm"
"79.751676532","-69dBm"
"82.409675016","-56dBm"
"82.512208589","-56dBm"
"82.614420396","-59dBm"
"83.331465186","-69dBm"
"85.997675254","-51dBm"
"86.097519266","-53dBm"
"86.813242969","-52dBm"
"86.915580671","-51dBm"
"89.578227401","-69dBm"
"89.680380042","-70dBm"
"90.295034454","-69dBm"
"90.397270877","-53dBm"
"90.502792310","-54dBm"
"93.059097444","-51dBm"
"93.166607521","-70dBm"
"93.263809064","-51dBm"
"93.980671455","-70dBm"
"96.643908611","-52dBm"
"96.746156318","-71dBm"
"96.848293905","-71dBm"
"97.462237661","-50dBm"
"97.493848676","-70dBm"
"97.539984823","-49dBm"
"97.541198988","-48dBm"
"97.542417832","-48dBm"
"97.564534410","-48dBm"
"100.329486822","-49dBm"
"100.944129510","-50dBm"
"101.158904331","-52dBm"
"103.822885382","-70dBm"
"103.913251945","-72dBm"
"104.494981797","-70dBm"
"104.527862346","-48dBm"
"104.538703816","-70dBm"
"104.630183975","-48dBm"
"104.732344869","-48dBm"
