"Time","signal strenght"
"0.732148379","-56dBm"
"0.834485862","-55dBm"
"0.937013519","-57dBm"
"1.557961460","-50dBm"
"1.654745401","-75dBm"
"4.316853672","-47dBm"
"4.418424185","-48dBm"
"5.135470683","-76dBm"
"7.902224918","-51dBm"
"8.002675807","-54dBm"
"8.617250676","-53dBm"
"8.719398765","-52dBm"
"11.382008339","-76dBm"
"11.484250264","-44dBm"
"11.586585620","-77dBm"
"12.212623143","-50dBm"
"12.303876817","-46dBm"
"14.965662990","-75dBm"
"15.068009862","-45dBm"
"15.784981018","-49dBm"
"18.549960922","-49dBm"
"18.652320234","-49dBm"
"19.266450094","-53dBm"
"19.368623540","-53dBm"
"22.031083545","-75dBm"
"22.133300192","-74dBm"
"22.236652705","-73dBm"
"25.615525112","-77dBm"
"25.717764800","-59dBm"
"26.441624030","-73dBm"
"26.536827059","-55dBm"
"29.125086167","-76dBm"
"29.228787087","-49dBm"
"29.302192893","-75dBm"
"32.681307347","-45dBm"
"32.783746303","-44dBm"
"32.885944022","-76dBm"
"33.603004625","-75dBm"
"36.264659387","-44dBm"
"36.366869125","-44dBm"
"36.985764183","-75dBm"
"37.084032798","-52dBm"
"39.757793684","-75dBm"
"39.848964483","-48dBm"
"39.951307618","-48dBm"
"40.565559097","-58dBm"
"40.667695462","-74dBm"
"43.330095349","-76dBm"
"43.433319018","-77dBm"
"43.535666374","-77dBm"
"44.252719525","-49dBm"
"46.914295144","-77dBm"
"47.016410836","-77dBm"
"50.397094380","-43dBm"
"50.518687460","-75dBm"
"50.600957008","-76dBm"
"51.342439088","-48dBm"
"53.979634268","-77dBm"
"54.083010389","-42dBm"
"54.185241606","-76dBm"
"54.799373448","-48dBm"
"54.914745417","-76dBm"
"57.564579933","-44dBm"
"57.669429408","-43dBm"
"58.385203589","-57dBm"
"61.057143824","-40dBm"
"61.160180776","-41dBm"
"61.250455288","-42dBm"
"61.988258364","-75dBm"
"64.629720852","-42dBm"
"64.732228145","-41dBm"
"65.357578466","-43dBm"
"65.448828881","-78dBm"
"68.213939410","-40dBm"
"68.930075870","-45dBm"
"71.704866278","-43dBm"
"71.822126602","-78dBm"
"71.913011424","-77dBm"
"72.514244728","-47dBm"
"73.541861607","-105dBm"
"75.281763149","-44dBm"
"75.382235698","-76dBm"
"78.827032633","-44dBm"
"78.828250335","-44dBm"
"78.863618010","-44dBm"
"78.886199088","-77dBm"
"78.965849486","-42dBm"
"82.345083700","-78dBm"
"82.454708000","-79dBm"
"82.566183181","-45dBm"
"83.163563769","-77dBm"
"85.929377806","-42dBm"
"86.032091184","-42dBm"
"89.512582190","-78dBm"
"89.616257700","-43dBm"
"90.332874430","-49dBm"
"93.010431572","-43dBm"
"93.096687215","-47dBm"
"93.204857564","-43dBm"
