"Time","signal strenght"
"0.033861203","-83dBm"
"0.136113452","-80dBm"
"0.238470774","-80dBm"
"3.617970361","-79dBm"
"3.720415228","-79dBm"
"4.334282717","-52dBm"
"7.099406427","-42dBm"
"7.201905181","-41dBm"
"7.304296799","-79dBm"
"10.682885510","-42dBm"
"10.785099291","-75dBm"
"10.888464588","-42dBm"
"14.267245759","-79dBm"
"14.369616156","-78dBm"
"17.748627435","-40dBm"
"17.850966085","-85dBm"
"17.953098440","-83dBm"
"21.332676366","-83dBm"
"21.434914174","-84dBm"
"24.917172403","-42dBm"
"25.019472793","-83dBm"
"28.398106762","-42dBm"
"28.500468829","-79dBm"
"28.602726728","-78dBm"
"31.982637226","-87dBm"
"32.084880829","-90dBm"
"32.701896047","-48dBm"
"32.904290823","-80dBm"
"35.566205721","-77dBm"
"35.668542482","-75dBm"
"39.048146511","-77dBm"
"39.150493379","-78dBm"
"39.252722499","-77dBm"
"39.969065758","-49dBm"
"42.631955687","-78dBm"
"42.734154806","-46dBm"
"42.836580602","-77dBm"
"46.215466776","-77dBm"
"46.318941119","-78dBm"
"47.138098319","-51dBm"
"49.800390429","-78dBm"
"49.902691998","-78dBm"
"50.516617859","-51dBm"
"53.281565982","-46dBm"
"53.383780321","-74dBm"
"53.486194944","-78dBm"
"56.865047816","-50dBm"
"56.968378375","-82dBm"
"57.582071967","-53dBm"
"57.684193901","-78dBm"
"57.787647030","-55dBm"
"60.449500054","-80dBm"
"60.551805163","-46dBm"
"61.268720537","-78dBm"
"61.370912501","-53dBm"
"63.931552752","-78dBm"
"64.033884202","-78dBm"
"64.137352735","-54dBm"
"67.514724328","-49dBm"
"67.617980115","-78dBm"
"68.334631306","-78dBm"
"68.437003516","-52dBm"
"71.098635312","-48dBm"
"71.200959185","-78dBm"
"72.020409637","-77dBm"
"74.580540982","-48dBm"
"74.588075988","-48dBm"
"74.682870872","-83dBm"
"74.793005299","-78dBm"
"75.503507482","-53dBm"
"78.164845383","-57dBm"
"78.267184783","-78dBm"
"78.369399640","-53dBm"
"78.882401502","-53dBm"
"78.988045382","-83dBm"
