"Time","signal strenght"
"0.000000000","-47dBm"
"0.102538632","-72dBm"
"2.765417121","-49dBm"
"2.867772153","-75dBm"
"3.481413036","-76dBm"
"3.584525257","-61dBm"
"6.246380741","-79dBm"
"6.350318556","-79dBm"
"6.451495638","-79dBm"
"7.066950787","-48dBm"
"7.168252038","-76dBm"
"9.833327958","-45dBm"
"9.933425599","-46dBm"
"10.547594791","-48dBm"
"10.649745710","-48dBm"
"10.687854709","-78dBm"
"10.751994708","-75dBm"
"13.414527983","-46dBm"
"13.516942158","-79dBm"
"14.131921133","-48dBm"
"14.234001102","-48dBm"
"16.896472075","-77dBm"
"16.999062623","-44dBm"
"17.101839372","-78dBm"
"17.720681479","-50dBm"
"17.817952452","-48dBm"
"20.484117458","-44dBm"
"20.582391138","-43dBm"
"21.200060345","-50dBm"
"24.064084277","-54dBm"
"24.166417122","-84dBm"
"24.783404066","-54dBm"
"24.884408353","-54dBm"
"27.546032519","-54dBm"
"27.648439823","-76dBm"
"27.750728871","-79dBm"
"28.372304029","-76dBm"
"28.467571869","-77dBm"
"31.129537452","-74dBm"
"31.231705103","-75dBm"
"31.949325286","-58dBm"
"34.715608401","-45dBm"
"34.815900356","-46dBm"
"35.383222936","-50dBm"
"38.195732385","-42dBm"
"38.297985831","-43dBm"
"38.400393242","-77dBm"
"39.024933655","-48dBm"
"39.117040512","-49dBm"
"41.779039529","-51dBm"
"41.881352823","-49dBm"
"42.495870004","-53dBm"
"42.597997768","-53dBm"
"42.693043589","-56dBm"
"42.694292671","-53dBm"
"42.695695065","-53dBm"
"42.697004629","-53dBm"
"42.700807727","-53dBm"
"42.702305636","-53dBm"
"42.703517889","-53dBm"
"42.704952928","-53dBm"
"42.706238150","-53dBm"
"42.707872341","-53dBm"
"45.363521905","-74dBm"
"45.465862069","-75dBm"
"46.079940571","-50dBm"
"46.182066770","-77dBm"
"46.196583937","-50dBm"
"46.197839624","-50dBm"
"46.200065279","-50dBm"
"46.215967284","-50dBm"
"46.217230049","-50dBm"
"46.285414143","-77dBm"
"48.845740431","-60dBm"
"48.947081852","-55dBm"
"49.050656220","-50dBm"
"49.678123249","-61dBm"
"49.769638869","-55dBm"
"52.429076910","-78dBm"
"52.531265184","-77dBm"
"53.145635984","-53dBm"
"53.247821139","-78dBm"
"53.350041051","-47dBm"
"56.012667337","-79dBm"
"56.115116679","-46dBm"
"56.169830523","-78dBm"
"56.171059851","-78dBm"
"56.172320769","-78dBm"
"56.173542327","-78dBm"
"56.174774855","-78dBm"
"56.176006829","-78dBm"
"56.177264313","-75dBm"
"56.178410823","-78dBm"
"56.180978814","-50dBm"
"56.729297589","-50dBm"
"56.832394983","-55dBm"
"56.934800635","-62dBm"
"59.495332112","-41dBm"
"59.597417146","-73dBm"
"59.701277017","-42dBm"
"60.313940302","-48dBm"
"60.416454242","-50dBm"
"63.078428533","-47dBm"
"63.180728596","-47dBm"
"63.283050237","-78dBm"
"63.797415055","-46dBm"
"63.897694240","-44dBm"
"64.006232018","-44dBm"
"66.662720008","-80dBm"
"66.765054096","-77dBm"
"66.820605942","-78dBm"
"66.821849611","-78dBm"
"67.379453496","-49dBm"
"70.143920749","-46dBm"
"70.246241026","-44dBm"
"70.348581267","-77dBm"
"70.963468525","-53dBm"
"71.066053303","-82dBm"
